,,,,,"December 15, 2014",,
,,,,,,,ADMA as of 9-11-14
                                                   NEW HAMPSHIRE DEPARTMENT OF EDUCATION                       ,,,,,,,
"Division of Program Support, Bureau of Data Management",,,,,,,
"101 Pleasant Street, Concord, NH 03301-3852",,,,,,,
Telephone (603) 271-2778  Fax (603) 271-3875,,,,,,,
,,,,,,,
STATE AVERAGE COST PER PUPIL AND TOTAL EXPENDITURES 2013-2014,,,,,,,
,,,,,,,
,Elementary,,Middle,,High,,Total
Part A - Expenditures,,,,,,,
,,,,,,,
Operating Expenses for Public Schools,"$1,230,310,884 ",,"$450,307,460 ",,"$746,535,714 ",,"$2,427,154,058 "
Tuition (less interdistrict transfers),"19,019,112 ",,"15,081,097 ",,"98,336,071 ",,"132,436,280 "
Transportation,"58,367,093 ",,"21,743,525 ",,"40,177,684 ",,"120,288,302 "
Elem and Secondary Current Expenses 1,"$1,307,697,089 ",,"$487,132,082 ",,"$885,049,469 ",,"$2,679,878,640 "
,,,,,,,
Capital Items (other than facilities reported below),,,,,,,"34,444,608 "
Bonds & Notes Interest,,,,,,,"41,362,251 "
Total Recurring Elementary and Secondary Expenditures,,,,,,,"$2,755,685,499 "
Facility Construction & Acquisition,,,,,,,"52,544,557 "
Total Expenditures for Elementary and Secondary Education,,,,,,,"$2,808,230,056 "
,,,,,,,
Current Expenditures Not Part of Public Elementary & Secondary,,,,,,,
Summer School,"$2,833,925 ",,"$814,850 ",,"$1,347,307 ",,"$4,996,082 "
Non-public Programs,,,,,,," 158,422 "
Adult Education,,,,,,," 5,640,470 "
Community/Jr. College Ed. Program,,,,,,,"126,460 "
Community Service,,,,,,," 405,500 "
Allocation to Charter Schools/Other Agencies,,,,,,," 854,573 "
Total Expenditures for 2013-2014 2,,,,,,,"$2,820,411,563 "
,,,,,,,
Part B - Pupil Memberships,,,,,,,
Average daily membership in attendance 3," 86,639.78 ",," 33,804.78 ",," 52,910.21 ",," 173,354.77 "
,,,,,,,
Part C - Cost Per Pupil   ,,,,,,,
,,,,,,,
Operating Expenses for Public Schools,"$14,200.30 ",,"$13,320.82 ",,"$14,109.48 ",,"$14,001.08 "
,,,,,,,
Tuition (less interdistrict transfers),219.52 ,,446.12 ,,"1,858.55 ",,763.96 
Transportation,673.68 ,,643.21 ,,759.36 ,,693.89 
Elem and Secondary Current Expenses,"$15,093.50 ",,"$14,410.15 ",,"$16,727.39 ",,"$15,458.93 "
,,,,,,,
Capital Items (other than facilities reported below) ,,,,,,,$198.69 
Bonds & Notes Interest,,,,,,,238.60 
Total Recurring Expenditures,,,,,,,"$15,896.22 "
Facility Construction & Acquisition,,,,,,,303.10 
Total Expenditures for Elementary and Secondary Education,,,,,,,"$16,199.32 "
,,,,,,,
Current Expenditures Not Part of Public Elementary & Secondary,,,,,,,
Summer School,$32.71 ,,$24.10 ,,$25.46 ,,$28.82 
Non-public Programs,,,,,,,0.91 
Adult Education,,,,,,,32.54 
Community/Jr. College Ed. Program,,,,,,,0.73 
Community Service,,,,,,,2.34 
Allocation to Charter Schools/Other Agencies,,,,,,,4.93 
Total Expenditures for 2013-2014,,,,,,,"$16,269.59 "
,,,,,,,
This State Average is based on district operated schools only.,,,,,,,
,,,,,,,
"1  Inter-district tuition payments have been deducted.  Inter-district transportation payments of $317,906 can not be",,,,,,,
    attributed to a grade level and have not been deducted.,,,,,,,
"2  Does not include Bond Principal repayment of: $94,172,003. Bond Principal repayments are not included because expenditures",,,,,,,
    financed by bonds and notes have already been reported as expenditures in the current or a previous year.,,,,,,,
3  High school average daily membership (ADM) does not include ADM of 77.24 for students attending vocational programs,,,,,,,
    out-of-state.  ,,,,,,,
,,,,,,,
,,,,,,,
JDF:rml    10   (5.10)    ,,,,,,,
State Avg Cost 2013-2014.xls,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
