,,,,,"December 7, 2017",,
,,,,,,,ADMA as of 9-20-17
                                                   NEW HAMPSHIRE DEPARTMENT OF EDUCATION                       ,,,,,,,
Office of School Finance,,,,,,,
"101 Pleasant Street, Concord, NH 03301-3852",,,,,,,
Telephone (603) 271-3876  Fax (603) 271-1953,,,,,,,
,,,,,,,
STATE AVERAGE COST PER PUPIL AND TOTAL EXPENDITURES 2016-2017,,,,,,,
,,,,,,,
,Elementary,,Middle,,High,,Total
Part A - Expenditures,,,,,,,
,,,,,,,
Operating Expenses for Public Schools,"$1,297,326,346 ",,"$484,634,940 ",,"$780,950,522 ",,"$2,562,911,808 "
Tuition (less interdistrict transfers),"20,676,294 ",,"18,016,055 ",,"116,381,770 ",,"155,074,119 "
Transportation,"61,041,575 ",,"23,378,763 ",,"42,871,451 ",,"127,291,789 "
Elem and Secondary Current Expenses 1,"$1,379,044,215 ",,"$526,029,758 ",,"$940,203,743 ",,"$2,845,277,716 "
,,,,,,,
Capital Items (other than facilities reported below),,,,,,,"39,142,985 "
Bonds & Notes Interest,,,,,,,"45,629,499 "
Total Recurring Elementary and Secondary Expenditures,,,,,,,"$2,930,050,200 "
Facility Construction & Acquisition,,,,,,,"104,341,482 "
Total Expenditures for Elementary and Secondary Education,,,,,,,"$3,034,391,682 "
,,,,,,,
Current Expenditures Not Part of Public Elementary & Secondary,,,,,,,
Summer School,"$3,048,378 ",,"$930,274 ",,"$1,610,912 ",,"$5,589,564 "
Non-public Programs,,,,,,," 454,419 "
Adult Education,,,,,,," 5,805,417 "
Community/Jr. College Ed. Program,,,,,,,"4,848 "
Community Service,,,,,,," 411,844 "
Allocation to Charter Schools/Other Agencies,,,,,,," 2,636,468 "
Total Expenditures for 2016-2017 2,,,,,,,"$3,049,294,242 "
,,,,,,,
Part B - Pupil Memberships,,,,,,,
Average daily membership in attendance 3," 84,255.10 ",," 32,877.42 ",," 50,261.33 ",," 167,393.85 "
,,,,,,,
Part C - Cost Per Pupil   ,,,,,,,
,,,,,,,
Operating Expenses for Public Schools,"$15,397.60 ",,"$14,740.66 ",,"$15,537.80 ",,"$15,310.67 "
,,,,,,,
Tuition (less interdistrict transfers),245.40 ,,547.98 ,,"2,315.53 ",,926.40 
Transportation,724.49 ,,711.09 ,,852.97 ,,760.43 
Elem and Secondary Current Expenses,"$16,367.49 ",,"$15,999.73 ",,"$18,706.30 ",,"$16,997.50 "
,,,,,,,
Capital Items (other than facilities reported below) ,,,,,,,$233.84 
Bonds & Notes Interest,,,,,,,272.59 
Total Recurring Expenditures,,,,,,,"$17,503.93 "
Facility Construction & Acquisition,,,,,,,623.33 
Total Expenditures for Elementary and Secondary Education,,,,,,,"$18,127.26 "
,,,,,,,
Current Expenditures Not Part of Public Elementary & Secondary,,,,,,,
Summer School,$36.18 ,,$28.30 ,,$32.05 ,,$33.39 
Non-public Programs,,,,,,,2.71 
Adult Education,,,,,,,34.68 
Community/Jr. College Ed. Program,,,,,,,0.03 
Community Service,,,,,,,2.46 
Allocation to Charter Schools/Other Agencies,,,,,,,15.75 
Total Expenditures for 2016-2017,,,,,,,"$18,216.28 "
,,,,,,,
This State Average is based on district operated schools only.,,,,,,,
,,,,,,,
"1  Inter-district tuition payments have been deducted.  Inter-district transportation payments of $349,418 can not be",,,,,,,
    attributed to a grade level and have not been deducted.,,,,,,,
"2  Does not include Bond Principal repayment of: $87,756,967. Bond Principal repayments are not included because expenditures",,,,,,,
    financed by bonds and notes have already been reported as expenditures in the current or a previous year.,,,,,,,
3  High school average daily membership (ADM) does not include ADM of 72.15 for students attending vocational programs,,,,,,,
    out-of-state.  ,,,,,,,
,,,,,,,
,,,,,,,
RML    10   (5.10)    ,,,,,,,
State Avg Cost 2016-2017.xls,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
