,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"December 15, 2014",
,,,"                             Division of Program Support, Bureau of Data Management",,,,ADMA as of 9-11-14,
,,,"                               101 Pleasant Street, Concord, NH  03301-3852",,,,,
,,,TEL 603-271-2778   FAX 603-271-3875,,,,,
,,,,,,,,
,,,"COST PER PUPIL BY DISTRICT, 2013-2014",,,,,
,,,,,,,,
,,,"The Cost per Pupil represents, with certain adjustments, current expenditures from all funding sources (local, state and federal) ",,,,,
,,,associated with the daily operation of schools. Payments to other school districts and private schools have been subtracted.  ,,,,,
,,,Revenues from the sales of lunches have also been excluded.  ,,,,,
,,,,,,,,
,,,"Cost per Pupil is calculated by subtracting tuition and transportation from K-12 current operating expenditures, and then dividing",,,,,
,,,"by the average daily membership in attendance (ADM-A).  The report ""State Average Cost Per Pupil and Total Expenditures"" ",,,,,
,,,"identifies which expenditures have been included or excluded. The per pupil amount of all expenditures - operating, tuition,",,,,,
,,,"transportation, equipment, construction, interest and non-K-12 expenditures is $16,269.59.",,,,,
,,,,,,,,
,,,,,,,,
,,,,, Approved  ,, Total ,
DIST,LOC,SAU, School District , Elementary , Middle , High , (Pre School-12) , 
,,,,,,,,
,,,State Average  (1),"$14,200.30 ","$13,320.82 ","$14,109.48 ","$14,001.08 ",
,,,,,,,,
5 ,5 ,9 ,Albany                   , -   , -   , -   , -   ,
9 ,9 ,53 ,Allenstown               ," 16,725.59 ", -   , -   ," 16,725.59 ",
15 ,15 ,51 ,Alton                    ," 15,779.30 ", -   , -   ," 15,779.30 ",
17 ,17 ,39 ,Amherst                  ," 18,333.36 "," 16,780.74 ", -   ," 17,479.97 ",
19 ,19 ,46 ,Andover                  ," 12,086.51 ", -   , -   ," 12,086.51 ",
,,,,,,,,
23 ,23 ,2 ,Ashland                  ," 15,382.74 ", -   , -   ," 15,382.74 ",
29 ,29 ,15 ,Auburn                   ," 11,925.40 ", -   , -   ," 11,925.40 ",
31 ,31 ,51 ,Barnstead                ," 13,567.19 ", -   , -   ," 13,567.19 ",
33 ,33 ,74 ,Barrington               ," 12,168.83 "," 11,689.40 ", -   ," 11,951.82 ",
35 ,35 ,9 ,Bartlett                 ," 22,350.18 ", -   , -   ," 22,350.18 ",
,,,,,,,,
39 ,39 ,23 ,Bath                     ," 17,407.04 ", -   , -   ," 17,407.04 ",
41 ,41 ,25 ,Bedford                  ," 12,505.45 "," 11,314.68 "," 11,027.57 "," 11,809.35 ",
47 ,47 ,23 ,Benton                   , -   , -   , -   , -   ,
51 ,51 ,3 ,Berlin                   ," 13,993.35 "," 12,892.39 "," 14,404.59 "," 13,862.51 ",
53 ,53 ,35 ,Bethlehem                ," 17,857.29 ", -   , -   ," 17,857.29 ",
,,,,,,,,
57 ,57 ,67 ,Bow                      ," 16,753.29 "," 13,828.76 "," 18,868.20 "," 16,436.89 ",
63 ,63 ,16 ,Brentwood                ," 13,291.13 ", -   , -   ," 13,291.13 ",
71 ,71 ,41 ,Brookline                ," 13,878.44 ", -   , -   ," 13,878.44 ",
75 ,75 ,48 ,Campton                  ," 15,666.79 ", -   , -   ," 15,666.79 ",
