,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"December 9, 2013",
,,,"                             Division of Program Support, Bureau of Data Management",,,,ADMA as of 10-18-13,
,,,"                               101 Pleasant Street, Concord, NH  03301-3852",,,,,
,,,TEL 603-271-2778   FAX 603-271-3875,,,,,
,,,,,,,,
,,,"COST PER PUPIL BY DISTRICT, 2012-2013",,,,,
,,,,,,,,
,,,"The Cost per Pupil represents, with certain adjustments, current expenditures from all funding sources (local, state and federal) ",,,,,
,,,associated with the daily operation of schools. Payments to other school districts and private schools have been subtracted.  ,,,,,
,,,Revenues from the sales of lunches have also been excluded.  ,,,,,
,,,,,,,,
,,,"Cost per Pupil is calculated by subtracting tuition and transportation from K-12 current operating expenditures, and then dividing",,,,,
,,,"by the average daily membership in attendance (ADM-A).  The report ""State Average Cost Per Pupil and Total Expenditures"" ",,,,,
,,,"identifies which expenditures have been included or excluded. The per pupil amount of all expenditures - operating, tuition,",,,,,
,,,"transportation, equipment, construction, interest and non-K-12 expenditures is $15,589.02. ",,,,,
,,,,,,,,
,,,,,,,,
,,,,, Approved  ,, Total ,
DIST,LOC,SAU, School District , Elementary , Middle , High , (Pre School-12) , 
,,,,,,,,
,,,State Average  (1),"$13,627.50 ","$12,991.70 ","$13,489.88 ","$13,459.39 ",
,,,,,,,,
5 ,5 ,9 ,Albany                   , -   , -   , -   , -   ,
9 ,9 ,53 ,Allenstown               ," 15,050.70 ", -   , -   ," 15,050.70 ",
15 ,15 ,51 ,Alton                    ," 14,424.33 ", -   , -   ," 14,424.33 ",
17 ,17 ,39 ,Amherst                  ," 17,983.34 "," 16,579.18 ", -   ," 17,193.34 ",
19 ,19 ,46 ,Andover                  ," 11,886.19 ", -   , -   ," 11,886.19 ",
,,,,,,,,
23 ,23 ,2 ,Ashland                  ," 16,653.11 ", -   , -   ," 16,653.11 ",
29 ,29 ,15 ,Auburn                   ," 11,054.42 ", -   , -   ," 11,054.42 ",
31 ,31 ,51 ,Barnstead                ," 13,125.23 ", -   , -   ," 13,125.23 ",
33 ,33 ,74 ,Barrington               ," 13,226.03 "," 11,450.82 ", -   ," 12,375.58 ",
35 ,35 ,9 ,Bartlett                 ," 21,042.27 ", -   , -   ," 21,042.27 ",
,,,,,,,,
39 ,39 ,23 ,Bath                     ," 15,026.92 ", -   , -   ," 15,026.92 ",
41 ,41 ,25 ,Bedford                  ," 12,044.85 "," 10,771.04 "," 11,147.12 "," 11,539.81 ",
47 ,47 ,23 ,Benton                   , -   , -   , -   , -   ,
51 ,51 ,3 ,Berlin                   ," 14,337.73 "," 12,224.91 "," 14,518.56 "," 13,824.50 ",
53 ,53 ,35 ,Bethlehem                ," 16,943.41 ", -   , -   ," 16,943.41 ",
,,,,,,,,
57 ,57 ,67 ,Bow                      ," 16,478.35 "," 13,435.73 "," 18,020.11 "," 15,973.61 ",
63 ,63 ,16 ,Brentwood                ," 12,995.21 ", -   , -   ," 12,995.21 ",
71 ,71 ,41 ,Brookline                ," 13,101.36 ", -   , -   ," 13,101.36 ",
75 ,75 ,48 ,Campton                  ," 15,500.10 ", -   , -   ," 15,500.10 ",
79 ,79 ,15 ,Candia                   ," 11,713.39 ", -   , -   ," 11,713.39 ",
,,,,,,,,
91 ,91 ,9 ,Chatham                  , -   , -   , -   , -   ,
93 ,93 ,14 ,Chester                  ," 11,212.29 ", -   , -   ," 11,212.29 ",
95 ,95 ,29 ,Chesterfield             ," 16,725.45 ", -   , -   ," 16,725.45 ",
99 ,99 ,53 ,Chichester               ," 14,239.11 ", -   , -   ," 14,239.11 ",
101 ,101 ,6 ,Claremont                ," 14,606.41 "," 14,212.97 "," 17,288.08 "," 15,394.30 ",
,,,,,,,,
103 ,103 ,7 ,Clarksville              , -   , -   , -   , -   ,
105 ,105 ,7 ,Colebrook                ," 13,403.60 ", -   ," 16,765.02 "," 14,524.19 ",
