,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"December 17, 2018",
,,,                             Office of School Finance,,,,ADMA as of 9-28-18,
,,,"                               101 Pleasant Street, Concord, NH  03301-3852",,,,,
,,,TEL 603-271-3876   FAX 603-271-1953,,,,,
,,,,,,,,
,,,"COST PER PUPIL BY DISTRICT, 2017-2018",,,,,
,,,,,,,,
,,,"The Cost per Pupil represents, with certain adjustments, current expenditures from all funding sources (local, state and federal) ",,,,,
,,,associated with the daily operation of schools. Payments to other school districts and private schools have been subtracted.  ,,,,,
,,,Revenues from the sales of lunches have also been excluded.  ,,,,,
,,,,,,,,
,,,"Cost per Pupil is calculated by subtracting tuition and transportation from K-12 current operating expenditures, and then dividing",,,,,
,,,"by the average daily membership in attendance (ADM-A).  The report ""State Average Cost Per Pupil and Total Expenditures"" ",,,,,
,,,"identifies which expenditures have been included or excluded. The per pupil amount of all expenditures - operating, tuition,",,,,,
,,,"transportation, equipment, construction, interest and non-K-12 expenditures is $18,991.10.",,,,,
,,,,,,,,
,,,,,,,,
,,,,, Approved  ,, Total ,
DIST,LOC,SAU, School District , Elementary , Middle , High , (Pre School-12) , 
,,,,,,,,
,,,State Average  (1),"$15,981.46 ","$15,021.13 ","$16,214.73 ","$15,865.26 ",
,,,,,,,,
5 ,5 ,9 ,Albany                   , -   , -   , -   , -   ,
9 ,9 ,53 ,Allenstown               ," 17,240.57 ", -   , -   ," 17,240.57 ",
15 ,15 ,51 ,Alton                    ," 20,060.19 ", -   , -   ," 20,060.19 ",
17 ,17 ,39 ,Amherst                  ," 17,210.56 "," 18,046.91 ", -   ," 17,620.42 ",
19 ,19 ,46 ,Andover                  ," 13,367.65 ", -   , -   ," 13,367.65 ",
23 ,23 ,2 ,Ashland                  ," 18,639.77 ", -   , -   ," 18,639.77 ",
29 ,29 ,15 ,Auburn                   ," 12,462.23 ", -   , -   ," 12,462.23 ",
31 ,31 ,51 ,Barnstead                ," 16,101.18 ", -   , -   ," 16,101.18 ",
33 ,33 ,74 ,Barrington               ," 13,609.67 "," 14,754.76 ", -   ," 14,116.26 ",
35 ,35 ,9 ,Bartlett                 ," 24,476.38 ", -   , -   ," 24,476.38 ",
,,,,,,,,
39 ,39 ,23 ,Bath                     ," 15,638.83 ", -   , -   ," 15,638.83 ",
41 ,41 ,25 ,Bedford                  ," 13,532.83 "," 13,588.88 "," 12,916.70 "," 13,332.51 ",
47 ,47 ,23 ,Benton                   , -   , -   , -   , -   ,
51 ,51 ,3 ,Berlin                   ," 16,253.55 "," 15,203.32 "," 18,250.33 "," 16,679.55 ",
53 ,53 ,35 ,Bethlehem                ," 20,327.93 ", -   , -   ," 20,327.93 ",
57 ,57 ,67 ,Bow                      ," 14,586.74 "," 14,529.57 "," 15,226.28 "," 14,819.09 ",
63 ,63 ,16 ,Brentwood *                ," 14,462.49 ", -   , -   ," 14,462.49 ",
71 ,71 ,41 ,Brookline                ," 15,085.90 ", -   , -   ," 15,085.90 ",
75 ,75 ,48 ,Campton                  ," 18,215.57 ", -   , -   ," 18,215.57 ",
79 ,79 ,15 ,Candia                   ," 16,875.73 ", -   , -   ," 16,875.73 ",
,,,,,,,,
91 ,91 ,9 ,Chatham                  , -   , -   , -   , -   ,
93 ,93 ,14 ,Chester                  ," 12,975.58 ", -   , -   ," 12,975.58 ",
95 ,95 ,29 ,Chesterfield             ," 17,820.82 ", -   , -   ," 17,820.82 ",
99 ,99 ,53 ,Chichester               ," 19,081.05 ", -   , -   ," 19,081.05 ",
101 ,101 ,6 ,Claremont                ," 16,846.32 "," 13,696.81 "," 17,927.74 "," 16,475.90 ",
103 ,103 ,7 ,Clarksville              , -   , -   , -   , -   ,
105 ,105 ,7 ,Colebrook                ," 16,731.92 ", -   ," 19,928.21 "," 17,839.07 ",
107 ,107 ,7 ,Columbia                 , -   , -   , -   , -   ,
111 ,111 ,8 ,Concord                  ," 17,569.70 "," 14,783.93 "," 14,178.74 "," 15,639.03 ",
112 ,0 ,1 ,Contoocook Valley," 20,099.31 "," 17,232.99 "," 17,689.55 "," 18,408.09 ",
,,,,,,,,
113 ,113 ,9 ,Conway                   ," 17,769.08 "," 18,429.70 "," 16,776.99 "," 17,462.66 ",
114 ,0 ,99 ,Coos County , -   , -   , -   , -   ,
115 ,115 ,6 ,Cornish                  ," 24,172.86 ", -   , -   ," 24,172.86 ",
117 ,117 ,43 ,Croydon                  ," 15,573.19 ", -   , -   ," 15,573.19 ",
