,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"February 11, 2011",
,,,"                             Division of Program Support, Bureau of Data Management",,,,,
,,,"                               101 Pleasant Street, Concord, NH  03301-3852",,,,,
,,,TEL 603-271-2778   FAX 603-271-3875,,,,,
,,,,,,,,
,,,"COST PER PUPIL BY DISTRICT, 2009-2010",,,,,
,,,,,,,,
,,,"The Cost per Pupil represents, with certain adjustments, current expenditures from all funding sources (local, state and federal) ",,,,,
,,,associated with the daily operation of schools. Payments to other school districts and private schools have been subtracted.  ,,,,,
,,,Revenues from the sales of lunches have also been excluded.  ,,,,,
,,,,,,,,
,,,"Cost per Pupil is calculated by subtracting tuition and transportation from K-12 current operating expenditures, and then dividing",,,,,
,,,"by the average daily membership in attendance (ADM-A).  The report ""State Average Cost Per Pupil and Total Expenditures"" ",,,,,
,,,"identifies which expenditures have been included or excluded. The per pupil amount of all expenditures - operating, tuition,",,,,,
,,,"transportation, equipment, construction, interest and non-K-12 expenditures is $14,549.61. ",,,,,
,,,,,,,,
,,,,,,,,
,,,,, Approved  ,, Total ,
DIST,LOC,SAU, School District , Elementary , Middle , High , (Pre School-12) , 
,,,,,,,,
,,,State Average  (1),"$12,599.53 ","$11,549.54 ","$12,036.00 ","$12,213.99 ",
,,,,,,,,
5 ,5 ,9 ,Albany                   , -   , -   , -   , -   ,
9 ,9 ,53 ,Allenstown               ," 15,588.68 ", -   , -   ," 15,588.68 ",
15 ,15 ,51 ,Alton                    ," 13,029.25 ", -   , -   ," 13,029.25 ",
17 ,17 ,39 ,Amherst                  ," 14,229.96 "," 13,918.86 ", -   ," 14,060.65 ",
19 ,19 ,46 ,Andover                  ," 13,067.41 ", -   , -   ," 13,067.41 ",
,,,,,,,,
23 ,23 ,2 ,Ashland                  ," 16,142.57 ", -   , -   ," 16,142.57 ",
29 ,29 ,15 ,Auburn                   ," 10,734.44 ", -   , -   ," 10,734.44 ",
31 ,31 ,51 ,Barnstead                ," 12,060.48 ", -   , -   ," 12,060.48 ",
33 ,33 ,74 ,Barrington               ," 11,675.41 "," 11,347.48 ", -   ," 11,522.53 ",
35 ,35 ,9 ,Bartlett                 ," 15,084.08 ", -   , -   ," 15,084.08 ",
,,,,,,,,
39 ,39 ,23 ,Bath                     ," 14,083.24 ", -   , -   ," 14,083.24 ",
41 ,41 ,25 ,Bedford                  ," 10,496.44 "," 10,802.45 "," 11,376.73 "," 10,795.59 ",
47 ,47 ,23 ,Benton                   , -   , -   , -   , -   ,
51 ,51 ,3 ,Berlin                   ," 12,264.49 "," 14,066.66 "," 12,637.11 "," 12,698.51 ",
53 ,53 ,35 ,Bethlehem                ," 14,923.48 ", -   , -   ," 14,923.48 ",
,,,,,,,,
57 ,57 ,67 ,Bow                      ," 13,360.32 "," 12,099.67 "," 14,254.59 "," 13,311.00 ",
63 ,63 ,16 ,Brentwood                ," 11,765.46 ", -   , -   ," 11,765.46 ",
71 ,71 ,41 ,Brookline                ," 11,295.16 ", -   , -   ," 11,295.16 ",
75 ,75 ,48 ,Campton                  ," 12,895.16 ", -   , -   ," 12,895.16 ",
79 ,79 ,15 ,Candia                   ," 11,289.96 ", -   , -   ," 11,289.96 ",
,,,,,,,,
91 ,91 ,9 ,Chatham                  , -   , -   , -   , -   ,
93 ,93 ,14 ,Chester                  ," 10,446.98 ", -   , -   ," 10,446.98 ",
95 ,95 ,29 ,Chesterfield             ," 13,549.85 ", -   , -   ," 13,549.85 ",
99 ,99 ,53 ,Chichester               ," 13,109.92 ", -   , -   ," 13,109.92 ",
101 ,101 ,6 ,Claremont                ," 13,341.88 "," 13,096.21 "," 15,260.05 "," 13,912.21 ",
,,,,,,,,
103 ,103 ,7 ,Clarksville              , -   , -   , -   , -   ,
105 ,105 ,7 ,Colebrook                ," 11,338.46 ", -   ," 13,549.26 "," 12,103.69 ",
107 ,107 ,7 ,Columbia                 , -   , -   , -   , -   ,
111 ,111 ,8 ,Concord                  ," 13,244.30 "," 11,563.22 "," 10,774.14 "," 11,923.41 ",
112 ,0 ,1 ,Contoocook Valley," 15,231.47 "," 13,257.89 "," 12,755.81 "," 13,669.17 ",
,,,,,,,,
113 ,113 ,9 ,Conway                   ," 14,795.36 "," 13,875.68 "," 12,508.63 "," 13,594.13 ",
114 ,0 ,99 ,Coos County , -   , -   , -   , -   ,
115 ,115 ,6 ,Cornish                  ," 17,234.07 ", -   , -   ," 17,234.07 ",
117 ,117 ,43 ,Croydon                  ," 11,632.41 ", -   , -   ," 11,632.41 ",
127 ,127 ,53 ,Deerfield                ," 14,971.15 ", -   , -   ," 14,971.15 ",
131 ,131 ,10 ,Derry  Cooperative," 12,347.99 "," 11,319.39 ", -   ," 11,942.24 ",
141 ,141 ,11 ,Dover                    ," 10,052.00 "," 9,643.20 "," 10,413.22 "," 10,085.11 ",
142 ,0 ,22 ,Dresden ," 16,552.72 ", -   ," 14,800.24 "," 15,441.16 ",
147 ,147 ,20 ,Dummer                   , -   , -   , -   , -   ,
149 ,149 ,19 ,Dunbarton                ," 11,536.06 ", -   , -   ," 11,536.06 ",
