,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,28-Dec-21,
,,,                             Office of School Finance,,,,ADMA as of 11-15-21,
,,,"                               101 Pleasant Street, Concord, NH  03301-3852",,,,,
,,,TEL 603-271-0073,,,,,
,,,,,,,,
,,,"COST PER PUPIL BY DISTRICT, 2020-2021",,,,,
,,,,,,,,
,,,"The Cost per Pupil represents, with certain adjustments, current expenditures from all funding sources (local, state and federal) ",,,,,
,,,associated with the daily operation of schools. Payments to other school districts and private schools have been subtracted.  ,,,,,
,,,Revenues from the sales of lunches have also been excluded.  ,,,,,
,,,,,,,,
,,,"Cost per Pupil is calculated by subtracting tuition and transportation from K-12 current operating expenditures, and then dividing",,,,,
,,,"by the average daily membership in attendance (ADM-A).  The report ""State Average Cost Per Pupil and Total Expenditures"" ",,,,,
,,,"identifies which expenditures have been included or excluded. The per pupil amount of all expenditures - operating, tuition,",,,,,
,,,"transportation, equipment, construction, interest and non-K-12 expenditures is $21,842.89.",,,,,
,,,,,,,,
,,,,,,,,
,,,,, Approved  ,, Total ,
DIST,LOC,SAU, School District , Elementary , Middle , High , (Pre School-12) , 
,,,,,,,,
,,,State Average  (1),"$19,331.82 ","$17,262.97 ","$17,758.26 ","$18,434.21 ",
,,,,,,,,
5,5,9,Albany                   , -   , -   , -   , -   ,
9,9,53,Allenstown               ,"19,285.29", -   , -   ,"19,285.29",
15,15,51,Alton                    ,"24,125.10", -   , -   ,"24,125.10",
17,17,39,Amherst                  ,"21,260.75","22,129.51", -   ,"21,688.29",
19,19,46,Andover                  ,"17,478.47", -   , -   ,"17,478.47",
23,23,2,Ashland                  ,"20,062.15", -   , -   ,"20,062.15",
29,29,15,Auburn                   ,"13,801.29", -   , -   ,"13,801.29",
31,31,51,Barnstead                ,"17,847.49", -   , -   ,"17,847.49",
33,33,74,Barrington               ,"16,773.97","17,029.01", -   ,"16,886.00",
35,35,9,Bartlett                 ,"31,067.41", -   , -   ,"31,067.41",
,,,,,,,,
39,39,23,Bath                     ,"20,849.71", -   , -   ,"20,849.71",
41,41,25,Bedford                  ,"15,840.83","15,515.14","15,235.54","15,572.67",
47,47,23,Benton                   , -   , -   , -   , -   ,
51,51,3,Berlin                   ,"18,096.86","16,489.37","17,911.92","17,679.34",
53,53,35,Bethlehem                ,"22,882.38", -   , -   ,"22,882.38",
57,57,67,Bow                      ,"15,395.33","15,363.20","17,396.18","16,109.54",
63,63,16,Brentwood             ,"18,899.14", -   , -   ,"18,899.14",
71,71,41,Brookline                ,"15,832.99", -   , -   ,"15,832.99",
75,75,48,Campton                  ,"21,116.10", -   , -   ,"21,116.10",
79,79,15,Candia                   ,"19,063.49", -   , -   ,"19,063.49",
,,,,,,,,
91,91,9,Chatham                  , -   , -   , -   , -   ,
93,93,14,Chester                  ,"15,490.02", -   , -   ,"15,490.02",
95,95,29,Chesterfield             ,"20,589.47", -   , -   ,"20,589.47",
99,99,53,Chichester               ,"21,803.58", -   , -   ,"21,803.58",
101,101,6,Claremont                ,"21,998.80","18,367.18","20,213.79","20,542.03",
103,103,7,Clarksville              , -   , -   , -   , -   ,
105,105,7,Colebrook                ,"18,335.32", -   ,"22,784.65","19,801.78",
107,107,7,Columbia                 , -   , -   , -   , -   ,
111,111,8,Concord                  ,"21,967.79","17,122.97","16,341.38","18,698.12",
112,0,1,Contoocook Valley,"25,236.46","20,617.90","20,378.99","22,132.94",
,,,,,,,,
113,113,9,Conway                   ,"21,127.79","20,981.88","18,648.27","19,975.94",
114,0,99,Coos County , -   , -   , -   , -   ,
115,115,6,Cornish                  ,"26,855.10", -   , -   ,"26,855.10",
117,117,43,Croydon                  ,"22,534.16", -   , -   ,"22,534.16",
127,127,53,Deerfield                ,"18,348.36", -   , -   ,"18,348.36",
131,131,10,Derry  Cooperative,"18,503.45","17,666.11", -   ,"18,192.26",
141,141,11,Dover                    ,"19,093.15","13,625.82","12,679.39","14,927.53",
142,0,22,Dresden ,"23,301.88", -   ,"21,422.08","22,064.99",
147,147,20,Dummer                   , -   , -   , -   , -   ,
149,149,19,Dunbarton                ,"16,296.90", -   , -   ,"16,296.90",
153,153,16,East Kingston             ,"22,822.83", -   , -   ,"22,822.83",
159,159,9,Eaton                    , -   , -   , -   , -   ,
162,162,48,Ellsworth                , -   , -   , -   , -   ,
165,165,14,Epping                   ,"18,022.03","21,451.90","22,958.06","20,112.51",
167,167,53,Epsom                    ,"21,531.18", -   , -   ,"21,531.18",
171,171,20,Errol                    ,"31,831.84", -   , -   ,"31,831.84",
173,173,16,Exeter      ,"23,409.08", -   , -   ,"23,409.08",
172,0,16,Exeter Regional Cooperative  , -   ,"20,111.23","18,697.91","19,247.67",
174,0,60,Fall Mountain Regional,"21,193.63", -   ,"19,165.85","20,497.67",
175,175,61,Farmington               ,"20,049.26", -   ,"19,386.72","19,841.03",
,,,,,,,,
185,185,18,Franklin                 ,"15,950.85", -   ,"18,250.68","16,607.59",
187,187,13,Freedom                  ,"38,461.85", -   , -   ,"38,461.85",
189,189,14,Fremont                  ,"17,805.32", -   , -   ,"17,805.32",
191,191,30,Gilford                  ,"21,591.70","19,014.41","19,789.89","20,059.63",
195,195,30,Gilmanton                ,"18,169.59", -   , -   ,"18,169.59",
199,199,19,Goffstown                ,"15,607.90","13,878.59","15,371.44","14,952.32",
201,201,20,Gorham Randolph Shelburne Coop,"21,431.16","18,156.92","20,774.68","20,312.22",
207,0,43,Goshen, -   , -   , -   , -   ,
208,0,49,Gov Wentworth Regional,"22,581.01","21,624.65","19,497.14","21,304.56",
211,211,32,Grantham                 ,"22,469.48", -   , -   ,"22,469.48",
,,,,,,,,
215,215,50,Greenland                ,"19,334.78", -   , -   ,"19,334.78",
222,222,,Hale's Location, -   , -   , -   , -   ,
223,223,55,Hampstead                ,"23,225.53","22,980.76", -   ,"23,111.73",
225,225,21,Hampton                  ,"20,509.47", -   , -   ,"20,509.47",
227,227,21,Hampton Falls            ,"30,386.09", -   , -   ,"30,386.09",
233,233,22,Hanover                  ,"23,219.32", -   , -   ,"23,219.32",
235,235,29,Harrisville              ,"22,781.01", -   , -   ,"22,781.01",
236,236,9,Hart's Location          , -   , -   , -   , -   ,
238,238,23,Haverhill Cooperative,"21,303.04","18,520.42","20,417.59","19,944.23",
245,245,24,Henniker                ,"19,656.06", -   , -   ,"19,656.06",
,,,,,,,,
247,247,18,Hill                     ,"20,709.89", -   , -   ,"20,709.89",
251,0,34,Hillsboro-Deering Coop,"22,305.82","19,463.64","21,470.10","21,269.81",
255,255,38,Hinsdale                 ,"22,370.93","21,839.82","25,241.16","22,947.96",
257,257,48,Holderness               ,"25,680.96", -   , -   ,"25,680.96",
259,259,41,Hollis                   ,"19,381.23", -   , -   ,"19,381.23",
