,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"January 2, 2024",
,,,                             Bureau of School Finance,,,,ADMA as of 12-22-23,
,,,"                               25 Hall Street, Concord, NH  03301-3852",,,,,
,,,TEL 603-731-6514   ,,,,,
,,,,,,,,
,,,"COST PER PUPIL BY DISTRICT, 2022-2023",,,,,
,,,,,,,,
,,,"The Cost per Pupil represents, with certain adjustments, current expenditures from all funding sources (local, state and federal) ",,,,,
,,,associated with the daily operation of schools. Payments to other school districts and private schools have been subtracted.  ,,,,,
,,,Revenues from the sales of lunches have also been excluded.  ,,,,,
,,,,,,,,
,,,"Cost per Pupil is calculated by subtracting tuition and transportation from K-12 current operating expenditures, and then dividing",,,,,
,,,"by the average daily membership in attendance (ADM-A).  The report ""State Average Cost Per Pupil and Total Expenditures"" ",,,,,
,,,"identifies which expenditures have been included or excluded. The per pupil amount of all expenditures - operating, tuition,",,,,,
,,,"transportation, equipment, construction, interest and non-K-12 expenditures is $24,755.95",,,,,
,,,,,,,,
,,,,,,,,
,,,,, Approved  ,, Total ,
DIST,LOC,SAU, School District , Elementary , Middle , High , (Pre School-12) , 
,,,,,,,,
,,,State Average  (1),"$20,900.89 ","$19,458.87 ","$19,917.95 ","$20,322.52 ",
,,,,,,,,
5 ,5 ,9 ,Albany                   , -   , -   , -   , -   ,
9 ,9 ,53 ,Allenstown               ," 23,305.75 ", -   , -   ," 23,305.75 ",
15 ,15 ,51 ,Alton                    ," 24,795.47 ", -   , -   ," 24,795.47 ",
17 ,17 ,39 ,Amherst                  ," 21,161.31 "," 21,528.86 ", -   ," 21,337.81 ",
19 ,19 ,46 ,Andover                  ," 18,871.85 ", -   , -   ," 18,871.85 ",
23 ,23 ,2 ,Ashland                  ," 24,050.05 ", -   , -   ," 24,050.05 ",
29 ,29 ,15 ,Auburn                   ," 14,190.74 ", -   , -   ," 14,190.74 ",
31 ,31 ,51 ,Barnstead                ," 17,264.88 ", -   , -   ," 17,264.88 ",
33 ,33 ,74 ,Barrington               ," 16,681.90 "," 19,268.75 ", -   ," 17,755.52 ",
35 ,35 ,9 ,Bartlett                 ," 27,602.10 ", -   , -   ," 27,602.10 ",
,,,,,,,,
39 ,39 ,23 ,Bath                     ," 25,086.51 ", -   , -   ," 25,296.16 ",
41 ,41 ,25 ,Bedford                  ," 17,504.54 "," 17,020.00 "," 17,500.36 "," 17,418.31 ",
47 ,47 ,23 ,Benton                   , -   , -   , -   , -   ,
51 ,51 ,3 ,Berlin                   ," 22,801.76 "," 19,404.37 "," 21,625.31 "," 21,635.48 ",
53 ,53 ,35 ,Bethlehem                ," 24,316.59 ", -   , -   ," 24,316.59 ",
57 ,57 ,67 ,Bow                      ," 16,532.00 "," 15,957.07 "," 19,719.04 "," 17,464.08 ",
63 ,63 ,16 ,Brentwood             ," 20,118.05 ", -   , -   ," 20,118.05 ",
71 ,71 ,41 ,Brookline                ," 16,707.94 ", -   , -   ," 16,707.94 ",
75 ,75 ,48 ,Campton                  ," 24,768.66 ", -   , -   ," 24,768.66 ",
79 ,79 ,15 ,Candia                   ," 19,981.82 ", -   , -   ," 19,981.82 ",
,,,,,,,,
91 ,91 ,9 ,Chatham                  , -   , -   , -   , -   ,
93 ,93 ,14 ,Chester                  ," 17,327.89 ", -   , -   ," 17,327.89 ",
95 ,95 ,29 ,Chesterfield             ," 21,838.33 ", -   , -   ," 21,838.33 ",
99 ,99 ,53 ,Chichester               ," 22,540.36 ", -   , -   ," 22,540.36 ",
101 ,101 ,6 ,Claremont                ," 22,752.83 "," 20,043.48 "," 20,939.73 "," 21,590.35 ",
103 ,103 ,7 ,Clarksville              , -   , -   , -   , -   ,
