,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"December 15, 2015",
,,,                             Office of School Finance,,,,ADMA as of 9-14-15,
,,,"                               101 Pleasant Street, Concord, NH  03301-3852",,,,,
,,,TEL 603-271-3876   FAX 603-271-1953,,,,,
,,,,,,,,
,,,"COST PER PUPIL BY DISTRICT, 2014-2015",,,,,
,,,,,,,,
,,,"The Cost per Pupil represents, with certain adjustments, current expenditures from all funding sources (local, state and federal) ",,,,,
,,,associated with the daily operation of schools. Payments to other school districts and private schools have been subtracted.  ,,,,,
,,,Revenues from the sales of lunches have also been excluded.  ,,,,,
,,,,,,,,
,,,"Cost per Pupil is calculated by subtracting tuition and transportation from K-12 current operating expenditures, and then dividing",,,,,
,,,"by the average daily membership in attendance (ADM-A).  The report ""State Average Cost Per Pupil and Total Expenditures"" ",,,,,
,,,"identifies which expenditures have been included or excluded. The per pupil amount of all expenditures - operating, tuition,",,,,,
,,,"transportation, equipment, construction, interest and non-K-12 expenditures is $16,933.45.",,,,,
,,,,,,,,
,,,,,,,,
,,,,, Approved  ,, Total ,
DIST,LOC,SAU, School District , Elementary , Middle , High , (Pre School-12) , 
,,,,,,,,
,,,State Average  (1),"$14,581.48 ","$13,698.36 ","$14,466.37 ","$14,374.93 ",
,,,,,,,,
5 ,5 ,9 ,Albany                   , -   , -   , -   , -   ,
9 ,9 ,53 ,Allenstown               ," 18,337.64 ", -   , -   ," 18,337.64 ",
15 ,15 ,51 ,Alton                    ," 16,473.80 ", -   , -   ," 16,473.80 ",
17 ,17 ,39 ,Amherst                  ," 18,870.65 "," 17,484.94 ", -   ," 18,126.02 ",
19 ,19 ,46 ,Andover                  ," 12,941.15 ", -   , -   ," 12,941.15 ",
,,,,,,,,
23 ,23 ,2 ,Ashland                  ," 16,856.03 ", -   , -   ," 16,856.03 ",
29 ,29 ,15 ,Auburn                   ," 12,275.72 ", -   , -   ," 12,275.72 ",
31 ,31 ,51 ,Barnstead                ," 14,877.51 ", -   , -   ," 14,877.51 ",
33 ,33 ,74 ,Barrington               ," 12,767.67 "," 12,280.65 ", -   ," 12,547.41 ",
35 ,35 ,9 ,Bartlett                 ," 22,800.09 ", -   , -   ," 22,800.09 ",
,,,,,,,,
39 ,39 ,23 ,Bath                     ," 14,775.60 ", -   , -   ," 14,775.60 ",
41 ,41 ,25 ,Bedford                  ," 12,615.80 "," 11,558.08 "," 11,557.69 "," 12,069.62 ",
47 ,47 ,23 ,Benton                   , -   , -   , -   , -   ,
51 ,51 ,3 ,Berlin                   ," 15,660.72 "," 14,270.90 "," 15,199.82 "," 15,149.51 ",
53 ,53 ,35 ,Bethlehem                ," 17,295.99 ", -   , -   ," 17,295.99 ",
,,,,,,,,
57 ,57 ,67 ,Bow                      ," 17,230.38 "," 14,288.80 "," 17,571.33 "," 16,266.25 ",
63 ,63 ,16 ,Brentwood                ," 14,308.32 ", -   , -   ," 14,308.32 ",
71 ,71 ,41 ,Brookline                ," 13,681.86 ", -   , -   ," 13,681.86 ",
75 ,75 ,48 ,Campton                  ," 17,321.18 ", -   , -   ," 17,321.18 ",
79 ,79 ,15 ,Candia                   ," 13,482.29 ", -   , -   ," 13,482.29 ",
,,,,,,,,
91 ,91 ,9 ,Chatham                  , -   , -   , -   , -   ,
93 ,93 ,14 ,Chester                  ," 12,023.55 ", -   , -   ," 12,023.55 ",
95 ,95 ,29 ,Chesterfield             ," 17,348.38 ", -   , -   ," 17,348.38 ",
99 ,99 ,53 ,Chichester               ," 15,804.27 ", -   , -   ," 15,804.27 ",
101 ,101 ,6 ,Claremont                ," 15,954.85 "," 15,413.47 "," 16,989.43 "," 16,161.86 ",
,,,,,,,,
103 ,103 ,7 ,Clarksville              , -   , -   , -   , -   ,
105 ,105 ,7 ,Colebrook                ," 13,013.61 ", -   ," 19,166.95 "," 14,906.62 ",
107 ,107 ,7 ,Columbia                 , -   , -   , -   , -   ,
111 ,111 ,8 ,Concord                  ," 14,692.20 "," 13,043.70 "," 12,868.70 "," 13,644.59 ",
112 ,0 ,1 ,Contoocook Valley," 17,997.53 "," 17,490.16 "," 15,710.62 "," 17,022.56 ",
,,,,,,,,
113 ,113 ,9 ,Conway                   ," 16,288.38 "," 16,266.53 "," 14,065.55 "," 15,312.72 ",
114 ,0 ,99 ,Coos County , -   , -   , -   , -   ,
115 ,115 ,6 ,Cornish                  ," 21,652.18 ", -   , -   ," 21,652.18 ",
117 ,117 ,43 ,Croydon                  ," 15,839.64 ", -   , -   ," 15,839.64 ",
127 ,127 ,53 ,Deerfield                ," 16,289.09 ", -   , -   ," 16,289.09 ",
131 ,131 ,10 ,Derry  Cooperative," 14,441.12 "," 13,787.87 ", -   ," 14,197.80 ",
141 ,141 ,11 ,Dover                    ," 10,609.57 "," 9,455.47 "," 11,919.82 "," 10,703.66 ",
142 ,0 ,22 ,Dresden ," 17,276.37 ", -   ," 18,556.38 "," 18,101.62 ",
147 ,147 ,20 ,Dummer                   , -   , -   , -   , -   ,
149 ,149 ,19 ,Dunbarton                ," 14,524.06 ", -   , -   ," 14,524.06 ",
153 ,153 ,16 ,East Kingston            ," 18,330.79 ", -   , -   ," 18,330.79 ",
,,,,,,,,
159 ,159 ,9 ,Eaton                    , -   , -   , -   , -   ,
162 ,162 ,48 ,Ellsworth                , -   , -   , -   , -   ,
165 ,165 ,14 ,Epping                   ," 13,803.56 "," 15,022.54 "," 18,212.99 "," 15,238.19 ",
167 ,167 ,53 ,Epsom                    ," 14,111.48 ", -   , -   ," 14,111.48 ",
171 ,171 ,20 ,Errol                    ," 30,859.12 ", -   , -   ," 30,859.12 ",
,,,,,,,,
173 ,173 ,16 ,Exeter                   ," 15,671.38 ", -   , -   ," 15,671.38 ",
172 ,0 ,16 ,Exeter Regional Cooperative , -   ," 12,911.57 "," 13,622.55 "," 13,318.16 ",
174 ,0 ,60 ,Fall Mountain Regional," 16,239.45 ", -   ," 16,510.62 "," 16,329.23 ",
175 ,175 ,61 ,Farmington               ," 12,889.42 ", -   ," 12,916.83 "," 12,897.97 ",
185 ,185 ,18 ,Franklin                 ," 8,213.95 "," 11,170.02 "," 12,099.90 "," 10,269.08 ",
,,,,,,,,
187 ,187 ,13 ,Freedom                  ," 27,348.47 ", -   , -   ," 27,348.47 ",
189 ,189 ,14 ,Fremont                  ," 14,489.61 ", -   , -   ," 14,489.61 ",
191 ,191 ,30 ,Gilford                  ," 18,423.71 "," 18,291.28 "," 17,757.89 "," 18,097.01 ",
195 ,195 ,30 ,Gilmanton                ," 13,456.98 ", -   , -   ," 13,456.98 ",
199 ,199 ,19 ,Goffstown                ," 13,679.23 "," 11,522.93 "," 12,195.18 "," 12,377.44 ",
,,,,,,,,
201 ,201 ,20 ,Gorham Randolph Shelburne Coop," 15,975.96 "," 15,844.29 "," 16,267.63 "," 16,039.00 ",
207 ,0 ,43 ,Goshen-Lempster Coop," 18,990.71 ", -   , -   ," 18,990.71 ",
208 ,0 ,49 ,Gov Wentworth Regional," 16,641.35 "," 18,520.41 "," 15,477.74 "," 16,522.86 ",
211 ,211 ,32 ,Grantham                 ," 17,460.90 ", -   , -   ," 17,460.90 ",
215 ,215 ,50 ,Greenland                ," 12,967.15 ", -   , -   ," 12,967.15 ",
,,,,,,,,
222,222,,Hale's Location, -   , -   , -   , -   ,
223 ,223 ,55 ,Hampstead                ," 17,928.46 "," 16,432.43 ", -   ," 17,158.06 ",
225 ,225 ,21 ,Hampton                  ," 15,212.60 ", -   , -   ," 15,212.60 ",
227 ,227 ,21 ,Hampton Falls            ," 18,601.61 ", -   , -   ," 18,601.61 ",
233 ,233 ,22 ,Hanover                  ," 19,011.82 ", -   , -   ," 19,011.82 ",
,,,,,,,,
235 ,235 ,29 ,Harrisville              ," 27,485.95 ", -   , -   ," 27,485.95 ",
236 ,236 ,9 ,Hart's Location          , -   , -   , -   , -   ,
238 ,238 ,23 ,Haverhill Cooperative," 16,163.82 "," 15,909.51 "," 17,022.05 "," 16,374.18 ",
245 ,245 ,24 ,Henniker                 ," 17,485.14 ", -   , -   ," 17,485.14 ",
247 ,247 ,18 ,Hill                     ," 15,487.22 ", -   , -   ," 15,487.22 ",
,,,,,,,,
251 ,0 ,34 ,Hillsboro-Deering Coop," 16,289.59 "," 15,522.41 "," 16,336.64 "," 16,124.87 ",
255 ,255 ,38 ,Hinsdale                 ," 15,663.45 "," 18,057.57 "," 20,712.98 "," 17,640.75 ",
257 ,257 ,48 ,Holderness               ," 23,195.94 ", -   , -   ," 23,195.94 ",
259 ,259 ,41 ,Hollis                   ," 15,686.94 ", -   , -   ," 15,686.94 ",
260 ,0 ,41 ,Hollis/Brookline Coop, -   ," 14,576.00 "," 13,205.45 "," 13,658.44 ",
,,,,,,,,
261 ,261 ,15 ,Hooksett                 ," 12,050.55 "," 13,115.80 ", -   ," 12,437.29 ",
263 ,263 ,66 ,Hopkinton                ," 17,646.61 "," 17,895.42 "," 19,988.41 "," 18,397.41 ",
267 ,267 ,27 ,Hudson                   ," 12,074.52 "," 10,944.96 "," 11,803.37 "," 11,703.12 ",
269 ,0 ,2 ,Inter-Lakes Cooperative," 19,390.04 ", -   ," 20,959.19 "," 19,888.02 ",
271 ,271 ,9 ,Jackson                  ," 24,199.55 ", -   , -   ," 24,199.55 ",
,,,,,,,,
274 ,0 ,47 ,Jaffrey-Rindge Cooperative," 13,362.38 "," 16,264.43 "," 14,818.04 "," 14,408.58 ",
275 ,0 ,24 ,John Stark Regional, -   , -   ," 16,454.23 "," 16,454.23 ",
276 ,0 ,65 ,Kearsarge Regional," 15,144.81 "," 18,816.35 "," 17,911.25 "," 16,876.77 ",
279 ,279 ,29 ,Keene                    ," 17,750.20 "," 13,226.42 "," 14,990.32 "," 15,655.40 ",
281 ,281 ,16 ,Kensington               ," 18,224.82 ", -   , -   ," 18,224.82 ",
285 ,285 ,30 ,Laconia                  ," 13,929.68 "," 16,420.46 "," 15,005.46 "," 14,798.79 ",
288 ,0 ,35 ,Lafayette Regional," 21,763.77 ", -   , -   ," 21,763.77 ",
291 ,291 ,35 ,Landaff                  ," 11,253.38 ", -   , -   ," 11,253.38 ",
295 ,295 ,32 ,Lebanon                  ," 20,372.64 "," 18,726.65 "," 18,548.40 "," 19,247.07 ",
305 ,0 ,68 ,Lincoln-Woodstock Coop   ," 18,229.04 "," 18,702.54 "," 20,551.58 "," 19,091.12 ",
,,,,,,,,
306 ,0 ,35 ,Lisbon Regional," 12,526.50 "," 21,470.16 "," 18,355.96 "," 16,008.53 ",
315 ,315 ,27 ,Litchfield               ," 13,844.38 "," 12,261.30 "," 13,558.15 "," 13,203.72 ",
317 ,317 ,35 ,Littleton                ," 17,093.38 "," 15,524.56 "," 22,551.03 "," 18,614.44 ",
319 ,319 ,12 ,Londonderry              ," 15,337.83 "," 12,782.86 "," 13,479.62 "," 14,021.28 ",
327 ,327 ,22 ,Lyme                     ," 19,114.43 ", -   , -   ," 19,114.43 ",
,,,,,,,,
333 ,333 ,13 ,Madison                  ," 20,044.57 ", -   , -   ," 20,044.57 ",
335 ,335 ,37 ,Manchester               ," 10,554.92 "," 11,019.23 "," 10,932.19 "," 10,772.85 ",
339 ,339 ,29 ,Marlboro                 ," 16,769.40 ", -   , -   ," 16,769.40 ",
341 ,341 ,29 ,Marlow                   ," 24,479.07 ", -   , -   ," 24,479.07 ",
342 ,0 ,63 ,Mascenic Regional," 11,488.62 "," 11,264.35 "," 15,463.05 "," 12,667.73 ",
,,,,,,,,
