,,,,,"March 11, 2009",
                              NEW HAMPSHIRE STATE DEPARTMENT OF EDUCATION,,,,,,
"Division of Program Support, Bureau of Data Management",,,,,,
"101 Pleasant Street, Concord, NH  03301-3852",,,,,,
TEL 603-271-2778   FAX 603-271-3875,,,,,,
,,,,,,
"COST PER PUPIL BY DISTRICT, 2007-2008",,,,,,
,,,,,,
"The Cost per Pupil represents, with certain adjustments, current expenditures from all funding sources (local, state and federal) ",,,,,,
associated with the daily operation of schools. Payments to other school districts and private schools have been subtracted.  ,,,,,,
Revenues from the sales of lunches have also been excluded.  ,,,,,,
,,,,,,
"Cost per Pupil is calculated by subtracting tuition and transportation from K-12 current operating expenditures, and then dividing",,,,,,
"by the average daily membership in attendance (ADM-A).  The report ""State Average Cost Per Pupil and Total Expenditures"" ",,,,,,
"identifies which expenditures have been included or excluded. The per pupil amount of all expenditures - operating, tuition,",,,,,,
"transportation, equipment, construction, interest and non-K-12 expenditures is $13,521.75. ",,,,,, 
,,,,,,
,,,,,,
,, Approved  ,,, Total ,
 School District , Elementary , Middle ,, High , (Pre School-12) ,
,,,,,,
State Average  (1),"$11,506.68 ","$10,639.57 ",,"$10,876.72 ","$11,135.10 ",
,,,,,,
Albany                   , -   , -   ,, -   , -   ,
Allenstown               ," 13,089.33 ", -   ,, -   ," 13,089.33 ",
Alton                    ," 11,369.91 ", -   ,, -   ," 11,369.91 ",
Amherst                  ," 12,908.34 "," 13,191.09 ",, -   ," 13,059.17 ",
Andover                  ," 11,245.45 ", -   ,, -   ," 11,245.45 ",
,,,,,,
Ashland                  ," 15,685.96 ", -   ,, -   ," 15,685.96 ",
Auburn                   ," 9,782.64 ", -   ,, -   ," 9,782.64 ",
Barnstead                ," 10,959.44 ", -   ,, -   ," 10,959.44 ",
Barrington               ," 10,019.61 "," 10,745.49 ",, -   ," 10,350.44 ",
Bartlett                 ," 13,546.61 ", -   ,, -   ," 13,546.61 ",
,,,,,,
Bath                     ," 13,832.29 ", -   ,, -   ," 13,832.29 ",
Bedford                  ," 10,195.97 "," 10,060.65 ",," 15,186.61 "," 10,982.66 ",
Benton                   , -   , -   ,, -   , -   ,
Berlin                   ," 10,768.54 "," 11,698.09 ",," 10,438.77 "," 10,804.21 ",
Bethlehem                ," 12,265.77 ", -   ,, -   ," 12,265.77 ",
,,,,,,
Bow                      ," 12,013.46 "," 10,975.32 ",," 12,992.51 "," 12,071.16 ",
Brentwood                ," 10,286.32 ", -   ,, -   ," 10,286.32 ",
Brookline                ," 10,547.32 ", -   ,, -   ," 10,547.32 ",
Campton                  ," 13,056.86 ", -   ,, -   ," 13,056.86 ",
Candia                   ," 9,858.62 ", -   ,, -   ," 9,858.62 ",
,,,,,,
Chatham                  , -   , -   ,, -   , -   ,
Chester                  ," 9,014.79 ", -   ,, -   ," 9,014.79 ",
Chesterfield             ," 12,180.42 ", -   ,, -   ," 12,180.42 ",
Chichester               ," 13,424.52 ", -   ,, -   ," 13,424.52 ",
Claremont                ," 11,523.29 "," 12,685.16 ",," 13,311.23 "," 12,373.45 ",
,,,,,,
Clarksville              , -   , -   ,, -   , -   ,
Colebrook                ," 10,311.96 ", -   ,," 11,770.88 "," 10,865.29 ",
Columbia                 , -   , -   ,, -   , -   ,
Concord                  ," 11,618.67 "," 9,800.64 ",," 9,794.52 "," 10,521.43 ",
Contoocook Valley," 13,487.27 "," 13,102.18 ",," 11,525.11 "," 12,629.94 ",
,,,,,,
Conway                   ," 14,130.57 "," 14,218.43 ",," 10,684.86 "," 12,540.26 ",
Coos County , -   , -   ,, -   , -   ,
Cornish                  ," 14,037.57 ", -   ,, -   ," 14,037.57 ",
Croydon                  ," 15,397.60 ", -   ,, -   ," 15,397.60 ",
Deerfield                ," 13,549.62 ", -   ,, -   ," 13,549.62 ",
Derry  Cooperative," 11,599.10 "," 10,115.11 ",, -   ," 10,977.67 ",
Dover                    ," 10,203.20 "," 8,687.49 ",," 9,145.82 "," 9,339.73 ",
Dresden ," 15,279.29 ", -   ,," 13,898.11 "," 14,380.96 ",
Dummer                   , -   , -   ,, -   , -   ,
Dunbarton                ," 10,199.58 ", -   ,, -   ," 10,199.58 ",
East Kingston            ," 11,586.71 ", -   ,, -   ," 11,586.71 ",
,,,,,,
Eaton                    , -   , -   ,, -   , -   ,
Ellsworth                , -   , -   ,, -   , -   ,
Epping                   ," 12,569.16 "," 12,660.66 ",," 13,718.00 "," 12,966.43 ",
Epsom                    ," 10,874.26 ", -   ,, -   ," 10,874.26 ",
Errol                    ," 19,506.28 ", -   ,, -   ," 19,506.28 ",
,,,,,,
Exeter                   ," 13,004.77 ", -   ,, -   ," 13,004.77 ",
Exeter Regional Cooperative , -   ," 10,753.54 ",," 11,880.10 "," 11,388.64 ",
Fall Mountain Regional," 10,886.14 ", -   ,," 13,007.07 "," 11,613.28 ",
Farmington               ," 8,751.08 ", -   ,," 8,707.92 "," 8,737.33 ",
Franklin                 ," 8,977.00 "," 8,028.97 ",," 8,772.86 "," 8,607.61 ",
,,,,,,
Freedom                  ," 18,437.57 ", -   ,, -   ," 18,437.57 ",
Fremont                  ," 11,174.77 ", -   ,, -   ," 11,174.77 ",
Gilford                  ," 16,961.57 "," 12,669.79 ",," 13,284.67 "," 14,091.38 ",
Gilmanton                ," 10,218.98 ", -   ,, -   ," 10,218.98 ",
Goffstown                ," 9,793.78 "," 8,469.33 ",," 9,126.96 "," 9,082.68 ",
,,,,,,
Gorham Randolph Shelburne Coop," 11,541.03 "," 12,117.15 ",," 12,985.51 "," 12,193.72 ",
Goshen-Lempster Coop," 12,896.18 ", -   ,, -   ," 12,896.18 ",
Gov Wentworth Regional," 12,379.93 "," 12,945.99 ",," 11,114.93 "," 12,017.77 ",
Grantham                 ," 12,222.06 ", -   ,, -   ," 12,222.06 ",
Greenland                ," 11,770.12 ", -   ,, -   ," 11,770.12 ",
,,,,,,
Hale's Location, -   , -   ,, -   , -   ,
Hampstead                ," 12,815.14 ", -   ,, -   ," 12,815.14 ",
Hampton                  ," 13,650.32 "," 12,416.50 ",, -   ," 13,166.95 ",
Hampton Falls            ," 15,554.43 ", -   ,, -   ," 15,554.43 ",
Hanover                  ," 15,223.21 ", -   ,, -   ," 15,223.21 ",
,,,,,,
Harrisville              ," 17,518.76 ", -   ,, -   ," 17,518.76 ",
Hart's Location          , -   , -   ,, -   , -   ,
Haverhill Cooperative," 11,781.46 "," 11,952.72 ",," 16,302.42 "," 13,229.46 ",
Henniker                 ," 13,179.55 ", -   ,, -   ," 13,179.55 ",
Hill                     ," 10,068.02 ", -   ,, -   ," 10,068.02 ",
,,,,,,
Hillsboro-Deering Coop," 12,342.86 "," 11,798.88 ",," 12,421.57 "," 12,233.85 ",
Hinsdale                 ," 11,847.08 "," 11,994.91 ",," 12,593.56 "," 12,127.89 ",
Holderness               ," 16,635.01 ", -   ,, -   ," 16,635.01 ",
Hollis                   ," 12,387.72 ", -   ,, -   ," 12,387.72 ",
Hollis/Brookline Coop, -   ," 11,698.72 ",," 9,794.85 "," 10,401.51 ",
,,,,,,
Hooksett                 ," 9,121.11 "," 9,487.16 ",, -   ," 9,252.75 ",
Hopkinton                ," 12,966.34 "," 13,088.16 ",," 12,648.32 "," 12,876.74 ",
Hudson                   ," 8,205.10 "," 7,800.75 ",," 9,047.63 "," 8,408.74 ",
Inter-Lakes Cooperative," 13,897.02 ", -   ,," 13,410.05 "," 13,720.75 ",
Jackson                  ," 15,584.02 ", -   ,, -   ," 15,584.02 ",
,,,,,,
Jaffrey-Rindge Cooperative," 10,431.90 "," 10,419.53 ",," 10,827.18 "," 10,541.45 ",
John Stark Regional, -   , -   ,," 10,905.43 "," 10,905.43 ",
Kearsarge Regional," 12,737.93 "," 13,298.10 ",," 12,362.71 "," 12,756.87 ",
Keene                    ," 15,320.45 "," 11,536.05 ",," 10,438.16 "," 12,221.12 ",
Kensington               ," 11,649.66 ", -   ,, -   ," 11,649.66 ",
Laconia                  ," 11,690.18 "," 13,006.89 ",," 10,772.35 "," 11,597.38 ",
Lafayette Regional," 16,299.82 ", -   ,, -   ," 16,299.82 ",
Landaff                  ," 11,439.65 ", -   ,, -   ," 11,439.65 ",
Lebanon                  ," 18,140.55 "," 17,178.32 ",," 12,771.71 "," 15,811.28 ",
Lincoln-Woodstock Coop   ," 14,066.99 "," 13,809.82 ",," 16,704.56 "," 14,884.26 ",
,,,,,,
Lisbon Regional," 13,192.71 "," 10,702.95 ",," 10,772.82 "," 11,645.58 ",
Litchfield               ," 9,352.88 "," 8,812.93 ",," 10,422.24 "," 9,543.21 ",
Littleton                ," 12,632.14 "," 15,974.36 ",," 16,803.41 "," 14,571.90 ",
Londonderry              ," 11,354.31 "," 9,282.13 ",," 10,480.72 "," 10,527.30 ",
Lyme                     ," 14,101.85 ", -   ,, -   ," 14,101.85 ",
,,,,,,
