,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"December 28, 2022",
,,,                             Office of School Finance,,,,ADMA as of 11-07-22,
,,,"                               25 Hall Street, Concord, NH  03301-3852",,,,,
,,,TEL 603-731-6514   FAX 603-271-1953,,,,,
,,,,,,,,
,,,"COST PER PUPIL BY DISTRICT, 2021-2022",,,,,
,,,,,,,,
,,,"The Cost per Pupil represents, with certain adjustments, current expenditures from all funding sources (local, state and federal) ",,,,,
,,,associated with the daily operation of schools. Payments to other school districts and private schools have been subtracted.  ,,,,,
,,,Revenues from the sales of lunches have also been excluded.  ,,,,,
,,,,,,,,
,,,"Cost per Pupil is calculated by subtracting tuition and transportation from K-12 current operating expenditures, and then dividing",,,,,
,,,"by the average daily membership in attendance (ADM-A).  The report ""State Average Cost Per Pupil and Total Expenditures"" ",,,,,
,,,"identifies which expenditures have been included or excluded. The per pupil amount of all expenditures - operating, tuition,",,,,,
,,,"transportation, equipment, construction, interest and non-K-12 expenditures is $23,042.85",,,,,
,,,,,,,,
,,,,,,,,
,,,,, Approved  ,, Total ,
DIST,LOC,SAU, School District , Elementary , Middle , High , (Pre School-12) , 
,,,,,,,,
,,,State Average  (1),"$20,060.38 ","$18,529.38 ","$18,869.95 ","$19,399.97 ",
,,,,,,,,
5 ,5 ,9 ,Albany                   , -   , -   , -   , -   ,
9 ,9 ,53 ,Allenstown               ," 20,289.31 ", -   , -   ," 20,289.31 ",
15 ,15 ,51 ,Alton                    ," 24,096.83 ", -   , -   ," 24,096.83 ",
17 ,17 ,39 ,Amherst                  ," 22,205.23 "," 22,383.01 ", -   ," 22,293.48 ",
19 ,19 ,46 ,Andover                  ," 17,955.54 ", -   , -   ," 17,955.54 ",
23 ,23 ,2 ,Ashland                  ," 21,877.75 ", -   , -   ," 21,877.75 ",
29 ,29 ,15 ,Auburn                   ," 14,233.89 ", -   , -   ," 14,233.89 ",
31 ,31 ,51 ,Barnstead                ," 17,809.83 ", -   , -   ," 17,809.83 ",
33 ,33 ,74 ,Barrington               ," 16,197.11 "," 17,620.51 ", -   ," 16,806.28 ",
35 ,35 ,9 ,Bartlett                 ," 30,135.71 ", -   , -   ," 30,135.71 ",
,,,,,,,,
39 ,39 ,23 ,Bath                     ," 23,899.42 ", -   , -   ," 23,899.42 ",
41 ,41 ,25 ,Bedford                  ," 16,680.29 "," 16,689.15 "," 16,354.05 "," 16,568.59 ",
47 ,47 ,23 ,Benton                   , -   , -   , -   , -   ,
51 ,51 ,3 ,Berlin                   ," 20,244.94 "," 16,526.54 "," 22,340.67 "," 20,083.34 ",
53 ,53 ,35 ,Bethlehem                ," 25,899.85 ", -   , -   ," 25,899.85 ",
57 ,57 ,67 ,Bow                      ," 16,263.39 "," 15,792.16 "," 18,828.25 "," 17,026.98 ",
63 ,63 ,16 ,Brentwood             ," 17,884.09 ", -   , -   ," 17,884.09 ",
71 ,71 ,41 ,Brookline                ," 15,980.64 ", -   , -   ," 15,980.64 ",
75 ,75 ,48 ,Campton                  ," 21,889.02 ", -   , -   ," 21,889.02 ",
79 ,79 ,15 ,Candia                   ," 20,464.20 ", -   , -   ," 20,464.20 ",
,,,,,,,,
91 ,91 ,9 ,Chatham                  , -   , -   , -   , -   ,
93 ,93 ,14 ,Chester                  ," 17,408.75 ", -   , -   ," 17,408.75 ",
95 ,95 ,29 ,Chesterfield             ," 20,635.36 ", -   , -   ," 20,635.36 ",
99 ,99 ,53 ,Chichester               ," 21,885.05 ", -   , -   ," 21,885.05 ",
101 ,101 ,6 ,Claremont                ," 20,411.82 "," 18,109.30 "," 20,168.02 "," 19,788.61 ",
103 ,103 ,7 ,Clarksville              , -   , -   , -   , -   ,
105 ,105 ,7 ,Colebrook                ," 20,644.47 ", -   ," 22,093.61 "," 21,118.67 ",
107 ,107 ,7 ,Columbia                 , -   , -   , -   , -   ,
111 ,111 ,8 ,Concord                  ," 22,790.08 "," 18,615.05 "," 17,240.42 "," 19,773.90 ",
112 ,0 ,1 ,Contoocook Valley," 25,588.30 "," 23,355.12 "," 22,828.52 "," 24,029.84 ",
,,,,,,,,
113 ,113 ,9 ,Conway                   ," 23,536.38 "," 23,384.05 "," 18,519.44 "," 21,202.88 ",
114 ,0 ,99 ,Coos County , -   , -   , -   , -   ,
115 ,115 ,6 ,Cornish                  ," 26,629.03 ", -   , -   ," 26,629.03 ",
117 ,117 ,43 ,Croydon                  ," 27,374.34 ", -   , -   ," 27,374.34 ",
127 ,127 ,53 ,Deerfield                ," 19,105.68 ", -   , -   ," 19,105.68 ",
