,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"December 21, 2020",
,,,                             Office of School Finance,,,,ADMA as of 11-24-20,
,,,"                               101 Pleasant Street, Concord, NH  03301-3852",,,,,
,,,TEL 603-271-2752   FAX 603-271-1953,,,,,
,,,,,,,,
,,,"COST PER PUPIL BY DISTRICT, 2019-2020",,,,,
,,,,,,,,
,,,"The Cost per Pupil represents, with certain adjustments, current expenditures from all funding sources (local, state and federal) ",,,,,
,,,associated with the daily operation of schools. Payments to other school districts and private schools have been subtracted.  ,,,,,
,,,Revenues from the sales of lunches have also been excluded.  ,,,,,
,,,,,,,,
,,,"Cost per Pupil is calculated by subtracting tuition and transportation from K-12 current operating expenditures, and then dividing",,,,,
,,,"by the average daily membership in attendance (ADM-A).  The report ""State Average Cost Per Pupil and Total Expenditures"" ",,,,,
,,,"identifies which expenditures have been included or excluded. The per pupil amount of all expenditures - operating, tuition,",,,,,
,,,"transportation, equipment, construction, interest and non-K-12 expenditures is $19,874.10.",,,,,
,,,,,,,,
,,,,,,,,
,,,,, Approved  ,, Total ,
DIST,LOC,SAU, School District , Elementary , Middle , High , (Pre School-12) , 
,,,,,,,,
,,,State Average  (1),"$17,188.49 ","$15,938.20 ","$16,776.10 ","$16,823.88 ",
,,,,,,,,
5 ,5 ,9 ,Albany                   , -   , -   , -   , -   ,
9 ,9 ,53 ,Allenstown               ," 16,659.23 ", -   , -   ," 16,659.23 ",
15 ,15 ,51 ,Alton                    ," 21,767.54 ", -   , -   ," 21,767.54 ",
17 ,17 ,39 ,Amherst                  ," 18,833.92 "," 20,097.20 ", -   ," 19,445.24 ",
19 ,19 ,46 ,Andover                  ," 14,881.86 ", -   , -   ," 14,881.86 ",
23 ,23 ,2 ,Ashland                  ," 19,712.61 ", -   , -   ," 19,712.61 ",
29 ,29 ,15 ,Auburn                   ," 11,910.25 ", -   , -   ," 11,910.25 ",
31 ,31 ,51 ,Barnstead                ," 17,901.81 ", -   , -   ," 17,901.81 ",
33 ,33 ,74 ,Barrington               ," 14,826.60 "," 15,066.74 ", -   ," 14,934.04 ",
35 ,35 ,9 ,Bartlett                 ," 23,555.77 ", -   , -   ," 23,555.77 ",
,,,,,,,,
39 ,39 ,23 ,Bath                     ," 18,404.10 ", -   , -   ," 18,404.10 ",
41 ,41 ,25 ,Bedford                  ," 14,498.79 "," 14,000.52 "," 14,069.12 "," 14,264.78 ",
47 ,47 ,23 ,Benton                   , -   , -   , -   , -   ,
51 ,51 ,3 ,Berlin                   ," 16,828.55 "," 16,575.12 "," 17,658.02 "," 17,051.23 ",
53 ,53 ,35 ,Bethlehem                ," 19,654.85 ", -   , -   ," 19,654.85 ",
57 ,57 ,67 ,Bow                      ," 15,135.54 "," 15,607.43 "," 15,968.20 "," 15,589.49 ",
63 ,63 ,16 ,Brentwood                 ," 16,774.04 ", -   , -   ," 16,774.04 ",
71 ,71 ,41 ,Brookline                ," 15,039.59 ", -   , -   ," 15,039.59 ",
75 ,75 ,48 ,Campton                  ," 20,598.57 ", -   , -   ," 20,598.57 ",
79 ,79 ,15 ,Candia                   ," 18,303.81 ", -   , -   ," 18,303.81 ",
,,,,,,,,
91 ,91 ,9 ,Chatham                  , -   , -   , -   , -   ,
93 ,93 ,14 ,Chester                  ," 13,695.98 ", -   , -   ," 13,695.98 ",
95 ,95 ,29 ,Chesterfield             ," 18,319.41 ", -   , -   ," 18,319.41 ",
99 ,99 ,53 ,Chichester               ," 18,454.45 ", -   , -   ," 18,454.45 ",
101 ,101 ,6 ,Claremont                ," 18,463.68 "," 15,381.10 "," 16,429.17 "," 17,083.89 ",
103 ,103 ,7 ,Clarksville              , -   , -   , -   , -   ,
105 ,105 ,7 ,Colebrook                ," 14,791.34 ", -   ," 20,325.24 "," 16,532.27 ",
107 ,107 ,7 ,Columbia                 , -   , -   , -   , -   ,
111 ,111 ,8 ,Concord                  ," 18,397.38 "," 15,274.49 "," 15,329.22 "," 16,569.25 ",
112 ,0 ,1 ,Contoocook Valley," 22,336.20 "," 18,942.28 "," 19,037.48 "," 20,171.35 ",
,,,,,,,,
113 ,113 ,9 ,Conway                   ," 21,113.44 "," 19,535.00 "," 18,462.83 "," 19,723.47 ",
114 ,0 ,99 ,Coos County , -   , -   , -   , -   ,
115 ,115 ,6 ,Cornish                  ," 25,461.85 ", -   , -   ," 25,461.85 ",
117 ,117 ,43 ,Croydon                  ," 18,997.71 ", -   , -   ," 18,997.71 ",
127 ,127 ,53 ,Deerfield                ," 17,250.14 ", -   , -   ," 17,250.14 ",
