,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"November 28, 2012",
,,,"                             Division of Program Support, Bureau of Data Management",,,,ADMA as of 11-26-12,
,,,"                               101 Pleasant Street, Concord, NH  03301-3852",,,,,
,,,TEL 603-271-2778   FAX 603-271-3875,,,,,
,,,,,,,,
,,,"COST PER PUPIL BY DISTRICT, 2011-2012",,,,,
,,,,,,,,
,,,"The Cost per Pupil represents, with certain adjustments, current expenditures from all funding sources (local, state and federal) ",,,,,
,,,associated with the daily operation of schools. Payments to other school districts and private schools have been subtracted.  ,,,,,
,,,Revenues from the sales of lunches have also been excluded.  ,,,,,
,,,,,,,,
,,,"Cost per Pupil is calculated by subtracting tuition and transportation from K-12 current operating expenditures, and then dividing",,,,,
,,,"by the average daily membership in attendance (ADM-A).  The report ""State Average Cost Per Pupil and Total Expenditures"" ",,,,,
,,,"identifies which expenditures have been included or excluded. The per pupil amount of all expenditures - operating, tuition,",,,,,
,,,"transportation, equipment, construction, interest and non-K-12 expenditures is $15,758.49. ",,,,,
,,,,,,,,
,,,,,,,,
,,,,, Approved  ,, Total ,
DIST,LOC,SAU, School District , Elementary , Middle , High , (Pre School-12) , 
,,,,,,,,
,,,State Average  (1),"$13,413.70 ","$12,605.50 ","$13,101.48 ","$13,159.15 ",
,,,,,,,,
5 ,5 ,9 ,Albany                   , -   , -   , -   , -   ,
9 ,9 ,53 ,Allenstown               ," 15,391.56 ", -   , -   ," 15,391.56 ",
15 ,15 ,51 ,Alton                    ," 14,253.74 ", -   , -   ," 14,253.74 ",
17 ,17 ,39 ,Amherst                  ," 17,946.34 "," 15,536.66 ", -   ," 16,569.40 ",
19 ,19 ,46 ,Andover                  ," 12,858.30 ", -   , -   ," 12,858.30 ",
,,,,,,,,
23 ,23 ,2 ,Ashland                  ," 16,590.19 ", -   , -   ," 16,590.19 ",
29 ,29 ,15 ,Auburn                   ," 11,266.19 ", -   , -   ," 11,266.19 ",
31 ,31 ,51 ,Barnstead                ," 13,361.84 ", -   , -   ," 13,361.84 ",
33 ,33 ,74 ,Barrington               ," 11,597.51 "," 11,391.27 ", -   ," 11,499.35 ",
35 ,35 ,9 ,Bartlett                 ," 18,353.37 ", -   , -   ," 18,353.37 ",
,,,,,,,,
39 ,39 ,23 ,Bath                     ," 16,566.57 ", -   , -   ," 16,566.57 ",
41 ,41 ,25 ,Bedford                  ," 11,567.85 "," 11,855.69 "," 10,807.75 "," 11,385.20 ",
47 ,47 ,23 ,Benton                   , -   , -   , -   , -   ,
51 ,51 ,3 ,Berlin                   ," 12,916.52 "," 13,140.21 "," 14,896.46 "," 13,660.66 ",
53 ,53 ,35 ,Bethlehem                ," 14,251.20 ", -   , -   ," 14,251.20 ",
,,,,,,,,
57 ,57 ,67 ,Bow                      ," 15,521.30 "," 13,528.45 "," 16,746.47 "," 15,291.70 ",
63 ,63 ,16 ,Brentwood                ," 11,359.80 ", -   , -   ," 11,359.80 ",
71 ,71 ,41 ,Brookline                ," 12,600.52 ", -   , -   ," 12,600.52 ",
75 ,75 ,48 ,Campton                  ," 14,743.95 ", -   , -   ," 14,743.95 ",
79 ,79 ,15 ,Candia                   ," 11,390.14 ", -   , -   ," 11,390.14 ",
,,,,,,,,
91 ,91 ,9 ,Chatham                  , -   , -   , -   , -   ,
93 ,93 ,14 ,Chester                  ," 11,271.56 ", -   , -   ," 11,578.35 ",
95 ,95 ,29 ,Chesterfield             ," 17,123.50 ", -   , -   ," 17,123.50 ",
99 ,99 ,53 ,Chichester               ," 14,751.21 ", -   , -   ," 14,751.21 ",
101 ,101 ,6 ,Claremont                ," 14,587.82 "," 14,677.40 "," 16,093.69 "," 15,110.60 ",
,,,,,,,,
103 ,103 ,7 ,Clarksville              , -   , -   , -   , -   ,
105 ,105 ,7 ,Colebrook                ," 14,165.70 ", -   ," 15,750.47 "," 14,732.09 ",
107 ,107 ,7 ,Columbia                 , -   , -   , -   , -   ,
111 ,111 ,8 ,Concord                  ," 14,007.71 "," 13,005.53 "," 11,422.31 "," 12,774.90 ",
112 ,0 ,1 ,Contoocook Valley," 16,822.87 "," 15,651.72 "," 14,932.74 "," 15,750.22 ",
,,,,,,,,
113 ,113 ,9 ,Conway                   ," 15,448.68 "," 15,616.96 "," 13,241.06 "," 14,461.91 ",
114 ,0 ,99 ,Coos County , -   , -   , -   , -   ,
115 ,115 ,6 ,Cornish                  ," 18,230.85 ", -   , -   ," 18,230.85 ",
117 ,117 ,43 ,Croydon                  ," 15,145.92 ", -   , -   ," 15,145.92 ",
127 ,127 ,53 ,Deerfield                ," 15,211.33 ", -   , -   ," 15,211.33 ",
131 ,131 ,10 ,Derry  Cooperative," 12,639.42 "," 12,010.16 ", -   ," 12,400.70 ",
141 ,141 ,11 ,Dover                    ," 9,630.67 "," 9,031.26 "," 10,971.73 "," 9,937.86 ",
142 ,0 ,22 ,Dresden ," 15,907.51 ", -   ," 16,306.20 "," 16,167.27 ",
147 ,147 ,20 ,Dummer                   , -   , -   , -   , -   ,
149 ,149 ,19 ,Dunbarton                ," 12,209.78 ", -   , -   ," 12,209.78 ",
153 ,153 ,16 ,East Kingston            ," 12,585.86 ", -   , -   ," 12,585.86 ",
,,,,,,,,
159 ,159 ,9 ,Eaton                    , -   , -   , -   , -   ,
162 ,162 ,48 ,Ellsworth                , -   , -   , -   , -   ,
165 ,165 ,14 ,Epping                   ," 13,552.94 "," 14,424.71 "," 17,136.31 "," 14,702.93 ",
167 ,167 ,53 ,Epsom                    ," 12,960.79 ", -   , -   ," 12,960.79 ",
171 ,171 ,20 ,Errol                    ," 31,337.98 ", -   , -   ," 31,352.21 ",
,,,,,,,,
173 ,173 ,16 ,Exeter                   ," 14,585.72 ", -   , -   ," 14,585.72 ",
172 ,0 ,16 ,Exeter Regional Cooperative , -   ," 11,628.93 "," 12,634.09 "," 12,201.99 ",
174 ,0 ,60 ,Fall Mountain Regional," 13,943.63 ", -   ," 14,519.61 "," 14,135.83 ",
175 ,175 ,61 ,Farmington               ," 12,078.66 ", -   ," 11,707.55 "," 11,959.96 ",
185 ,185 ,18 ,Franklin                 ," 8,237.78 "," 10,238.71 "," 10,655.67 "," 9,646.51 ",
,,,,,,,,
187 ,187 ,13 ,Freedom                  ," 22,245.66 ", -   , -   ," 22,245.66 ",
189 ,189 ,14 ,Fremont                  ," 13,015.52 ", -   , -   ," 13,015.52 ",
191 ,191 ,30 ,Gilford                  ," 16,706.96 "," 17,078.95 "," 15,896.96 "," 16,474.48 ",
195 ,195 ,30 ,Gilmanton                ," 12,413.19 ", -   , -   ," 12,413.19 ",
199 ,199 ,19 ,Goffstown                ," 12,179.12 "," 10,218.28 "," 11,048.81 "," 11,079.50 ",
,,,,,,,,
201 ,201 ,20 ,Gorham Randolph Shelburne Coop," 14,735.51 "," 14,449.22 "," 15,505.24 "," 14,934.28 ",
207 ,0 ,43 ,Goshen-Lempster Coop," 16,879.21 ", -   , -   ," 16,879.21 ",
208 ,0 ,49 ,Gov Wentworth Regional," 16,220.61 "," 16,822.21 "," 15,369.30 "," 16,023.25 ",
211 ,211 ,32 ,Grantham                 ," 13,482.19 ", -   , -   ," 13,482.19 ",
215 ,215 ,50 ,Greenland                ," 12,551.91 ", -   , -   ," 12,551.91 ",
,,,,,,,,
222 ,222 ,,Hale's Location, -   , -   , -   , -   ,
223 ,223 ,55 ,Hampstead                ," 16,709.66 ", -   , -   ," 16,709.66 ",
225 ,225 ,21 ,Hampton                  ," 12,643.72 "," 14,155.27 ", -   ," 13,143.81 ",
227 ,227 ,21 ,Hampton Falls            ," 16,948.71 ", -   , -   ," 16,948.71 ",
233 ,233 ,22 ,Hanover                  ," 18,221.96 ", -   , -   ," 18,221.96 ",
,,,,,,,,
235 ,235 ,29 ,Harrisville              ," 26,312.83 ", -   , -   ," 26,312.83 ",
236 ,236 ,9 ,Hart's Location          , -   , -   , -   , -   ,
238 ,238 ,23 ,Haverhill Cooperative," 13,618.55 "," 13,735.19 "," 17,281.62 "," 14,857.29 ",
245 ,245 ,24 ,Henniker                 ," 15,295.66 ", -   , -   ," 15,295.66 ",
247 ,247 ,18 ,Hill                     ," 11,578.81 ", -   , -   ," 11,578.81 ",
,,,,,,,,
251 ,0 ,34 ,Hillsboro-Deering Coop," 14,814.65 "," 14,331.42 "," 15,443.75 "," 14,902.08 ",
