,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"January 7, 2025",
,,,                             Bureau of School Finance,,,,ADMA as of 11-19-24,
,,,"                               25 Hall Street, Concord, NH  03301-3852",,,,,
,,,TEL 603-731-6514   ,,,,,
,,,,,,,,
,,,"COST PER PUPIL BY DISTRICT, 2023-2024 (Excluding Newfound)",,,,,
,,,,,,,,
,,,"The Cost per Pupil represents, with certain adjustments, current expenditures from all funding sources (local, state and federal) ",,,,,
,,,associated with the daily operation of schools. Payments to other school districts and private schools have been subtracted.  ,,,,,
,,,Revenues from the sales of lunches have also been excluded.  ,,,,,
,,,,,,,,
,,,"Cost per Pupil is calculated by subtracting tuition and transportation from K-12 current operating expenditures, and then dividing",,,,,
,,,"by the average daily membership in attendance (ADM-A).  The report ""State Average Cost Per Pupil and Total Expenditures"" ",,,,,
,,,"identifies which expenditures have been included or excluded. The per pupil amount of all expenditures - operating, tuition,",,,,,
,,,"transportation, equipment, construction, interest and non-K-12 expenditures is $26,320.12",,,,,
,,,,,,,,
,,,,,,,,
,,,,, Approved  ,, Total ,
DIST,LOC,SAU, School District , Elementary , Middle , High , (Pre School-12) , 
,,,,,,,,
,,,State Average  (1),"$22,106.94 ","$20,583.25 ","$21,222.33 ","$21,545.17 ",
,,,,,,,,
5 ,5 ,9 ,Albany                   , -   , -   , -   , -   ,
9 ,9 ,53 ,Allenstown               ," 26,020.27 ", -   , -   ," 26,020.27 ",
15 ,15 ,51 ,Alton                    ," 25,232.69 ", -   , -   ," 25,232.69 ",
17 ,17 ,39 ,Amherst                  ," 23,106.96 "," 21,389.16 ", -   ," 22,258.14 ",
19 ,19 ,46 ,Andover                  ," 21,185.04 ", -   , -   ," 21,185.04 ",
23 ,23 ,2 ,Ashland                  ," 28,141.51 ", -   , -   ," 28,141.51 ",
29 ,29 ,15 ,Auburn                   ," 15,135.09 ", -   , -   ," 15,135.09 ",
31 ,31 ,51 ,Barnstead                ," 18,272.44 ", -   , -   ," 18,272.44 ",
33 ,33 ,74 ,Barrington               ," 17,646.89 "," 20,367.56 ", -   ," 18,787.38 ",
35 ,35 ,9 ,Bartlett                 ," 32,483.68 ", -   , -   ," 32,483.68 ",
,,,,,,,,
39 ,39 ,23 ,Bath                     ," 34,554.86 ", -   , -   ," 34,554.86 ",
41 ,41 ,25 ,Bedford                  ," 18,680.34 "," 18,428.25 "," 18,286.29 "," 18,497.81 ",
47 ,47 ,23 ,Benton                   , -   , -   , -   , -   ,
51 ,51 ,3 ,Berlin                   ," 27,521.31 "," 19,606.73 "," 23,246.81 "," 24,137.79 ",
53 ,53 ,35 ,Bethlehem                ," 25,352.79 ", -   , -   ," 25,352.79 ",
