,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"December 18, 2019",
,,,                             Office of School Finance,,,,ADMA as of 10-28-19,
,,,"                               101 Pleasant Street, Concord, NH  03301-3852",,,,,
,,,TEL 603-271-3876   FAX 603-271-1953,,,,,
,,,,,,,,
,,,"COST PER PUPIL BY DISTRICT, 2018-2019",,,,,
,,,,,,,,
,,,"The Cost per Pupil represents, with certain adjustments, current expenditures from all funding sources (local, state and federal) ",,,,,
,,,associated with the daily operation of schools. Payments to other school districts and private schools have been subtracted.  ,,,,,
,,,Revenues from the sales of lunches have also been excluded.  ,,,,,
,,,,,,,,
,,,"Cost per Pupil is calculated by subtracting tuition and transportation from K-12 current operating expenditures, and then dividing",,,,,
,,,"by the average daily membership in attendance (ADM-A).  The report ""State Average Cost Per Pupil and Total Expenditures"" ",,,,,
,,,"identifies which expenditures have been included or excluded. The per pupil amount of all expenditures - operating, tuition,",,,,,
,,,"transportation, equipment, construction, interest and non-K-12 expenditures is $19,806.50.",,,,,
,,,,,,,,
,,,,,,,,
,,,,, Approved  ,, Total ,
DIST,LOC,SAU, School District , Elementary , Middle , High , (Pre School-12) , 
,,,,,,,,
,,,State Average  (1),"$16,519.77 ","$15,489.74 ","$16,599.80 ","$16,346.45 ",
,,,,,,,,
5 ,5 ,9 ,Albany                   , -   , -   , -   , -   ,
9 ,9 ,53 ,Allenstown               ," 17,268.54 ", -   , -   ," 17,268.54 ",
15 ,15 ,51 ,Alton                    ," 21,670.79 ", -   , -   ," 21,670.79 ",
17 ,17 ,39 ,Amherst                  ," 18,055.05 "," 18,463.82 ", -   ," 18,254.66 ",
19 ,19 ,46 ,Andover                  ," 14,926.61 ", -   , -   ," 14,926.61 ",
23 ,23 ,2 ,Ashland                  ," 19,411.09 ", -   , -   ," 19,411.09 ",
29 ,29 ,15 ,Auburn                   ," 12,085.86 ", -   , -   ," 12,085.86 ",
31 ,31 ,51 ,Barnstead                ," 16,739.52 ", -   , -   ," 16,739.52 ",
33 ,33 ,74 ,Barrington               ," 14,019.24 "," 15,209.21 ", -   ," 14,550.41 ",
35 ,35 ,9 ,Bartlett                 ," 24,263.74 ", -   , -   ," 24,263.74 ",
,,,,,,,,
39 ,39 ,23 ,Bath                     ," 15,975.52 ", -   , -   ," 15,975.52 ",
41 ,41 ,25 ,Bedford                  ," 14,168.49 "," 13,463.29 "," 13,740.21 "," 13,902.09 ",
47 ,47 ,23 ,Benton                   , -   , -   , -   , -   ,
51 ,51 ,3 ,Berlin                   ," 16,021.00 "," 16,249.05 "," 18,119.08 "," 16,778.54 ",
53 ,53 ,35 ,Bethlehem                ," 20,991.94 ", -   , -   ," 20,991.94 ",
57 ,57 ,67 ,Bow                      ," 14,523.20 "," 15,099.45 "," 15,791.23 "," 15,186.39 ",
63 ,63 ,16 ,Brentwood *                ," 15,924.38 ", -   , -   ," 15,924.38 ",
71 ,71 ,41 ,Brookline                ," 15,429.53 ", -   , -   ," 15,429.53 ",
75 ,75 ,48 ,Campton                  ," 19,571.08 ", -   , -   ," 19,571.08 ",
79 ,79 ,15 ,Candia                   ," 18,108.13 ", -   , -   ," 18,108.13 ",
,,,,,,,,
91 ,91 ,9 ,Chatham                  , -   , -   , -   , -   ,
93 ,93 ,14 ,Chester                  ," 14,242.25 ", -   , -   ," 14,242.25 ",
95 ,95 ,29 ,Chesterfield             ," 17,679.95 ", -   , -   ," 17,679.95 ",
99 ,99 ,53 ,Chichester               ," 18,525.56 ", -   , -   ," 18,525.56 ",
101 ,101 ,6 ,Claremont                ," 16,917.36 "," 14,380.85 "," 18,330.45 "," 16,754.54 ",
103 ,103 ,7 ,Clarksville              , -   , -   , -   , -   ,
105 ,105 ,7 ,Colebrook                ," 16,520.20 ", -   ," 21,402.40 "," 18,061.88 ",
107 ,107 ,7 ,Columbia                 , -   , -   , -   , -   ,
111 ,111 ,8 ,Concord                  ," 17,232.68 "," 14,804.65 "," 14,431.10 "," 15,658.48 ",
112 ,0 ,1 ,Contoocook Valley," 21,629.55 "," 18,213.42 "," 18,774.38 "," 19,603.99 ",
,,,,,,,,
113 ,113 ,9 ,Conway                   ," 19,214.33 "," 17,616.72 "," 17,208.09 "," 18,071.14 ",
114 ,0 ,99 ,Coos County , -   , -   , -   , -   ,
115 ,115 ,6 ,Cornish                  ," 24,705.87 ", -   , -   ," 24,705.87 ",
117 ,117 ,43 ,Croydon                  ," 14,436.77 ", -   , -   ," 14,436.77 ",
127 ,127 ,53 ,Deerfield                ," 17,084.43 ", -   , -   ," 17,084.43 ",
