,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"February 2, 2012",
,,,"                             Division of Program Support, Bureau of Data Management",,,,ADMA as of 2-2-12,
,,,"                               101 Pleasant Street, Concord, NH  03301-3852",,,,,
,,,TEL 603-271-2778   FAX 603-271-3875,,,,,
,,,,,,,,
,,,"COST PER PUPIL BY DISTRICT, 2010-2011",,,,,
,,,,,,,,
,,,"The Cost per Pupil represents, with certain adjustments, current expenditures from all funding sources (local, state and federal) ",,,,,
,,,associated with the daily operation of schools. Payments to other school districts and private schools have been subtracted.  ,,,,,
,,,Revenues from the sales of lunches have also been excluded.  ,,,,,
,,,,,,,,
,,,"Cost per Pupil is calculated by subtracting tuition and transportation from K-12 current operating expenditures, and then dividing",,,,,
,,,"by the average daily membership in attendance (ADM-A).  The report ""State Average Cost Per Pupil and Total Expenditures"" ",,,,,
,,,"identifies which expenditures have been included or excluded. The per pupil amount of all expenditures - operating, tuition,",,,,,
,,,"transportation, equipment, construction, interest and non-K-12 expenditures is $15,585.02. ",,,,,
,,,,,,,,
,,,,,,,,
,,,,, Approved  ,, Total ,
DIST,LOC,SAU, School District , Elementary , Middle , High , (Pre School-12) , 
,,,,,,,,
,,,State Average  (1),"$13,120.20 ","$12,114.55 ","$12,649.66 ","$12,775.15 ",
,,,,,,,,
5 ,5 ,9 ,Albany                   , -   , -   , -   , -   ,
9 ,9 ,53 ,Allenstown               ," 14,944.00 ", -   , -   ," 14,944.00 ",
15 ,15 ,51 ,Alton                    ," 14,081.04 ", -   , -   ," 14,081.04 ",
17 ,17 ,39 ,Amherst                  ," 17,216.08 "," 13,859.98 ", -   ," 15,282.75 ",
19 ,19 ,46 ,Andover                  ," 13,138.31 ", -   , -   ," 13,138.31 ",
,,,,,,,,
23 ,23 ,2 ,Ashland                  ," 16,543.48 ", -   , -   ," 16,543.48 ",
29 ,29 ,15 ,Auburn                   ," 11,200.69 ", -   , -   ," 11,200.69 ",
31 ,31 ,51 ,Barnstead                ," 12,811.46 ", -   , -   ," 12,811.46 ",
33 ,33 ,74 ,Barrington               ," 11,988.74 "," 12,186.49 ", -   ," 12,080.36 ",
35 ,35 ,9 ,Bartlett                 ," 16,983.31 ", -   , -   ," 16,983.31 ",
,,,,,,,,
39 ,39 ,23 ,Bath                     ," 15,245.71 ", -   , -   ," 15,245.71 ",
41 ,41 ,25 ,Bedford                  ," 11,289.17 "," 11,060.36 "," 11,224.82 "," 11,229.69 ",
47 ,47 ,23 ,Benton                   , -   , -   , -   , -   ,
51 ,51 ,3 ,Berlin                   ," 12,800.30 "," 12,427.93 "," 13,175.91 "," 12,873.78 ",
53 ,53 ,35 ,Bethlehem                ," 15,321.74 ", -   , -   ," 15,321.74 ",
,,,,,,,,
57 ,57 ,67 ,Bow                      ," 15,217.48 "," 13,009.33 "," 15,112.17 "," 14,462.16 ",
63 ,63 ,16 ,Brentwood                ," 12,577.53 ", -   , -   ," 12,577.53 ",
71 ,71 ,41 ,Brookline                ," 12,101.48 ", -   , -   ," 12,101.48 ",
75 ,75 ,48 ,Campton                  ," 13,606.69 ", -   , -   ," 13,606.69 ",
79 ,79 ,15 ,Candia                   ," 11,643.81 ", -   , -   ," 11,643.81 ",
,,,,,,,,
91 ,91 ,9 ,Chatham                  , -   , -   , -   , -   ,
93 ,93 ,14 ,Chester                  ," 11,069.06 ", -   , -   ," 11,069.06 ",
95 ,95 ,29 ,Chesterfield             ," 14,622.99 ", -   , -   ," 14,622.99 ",
99 ,99 ,53 ,Chichester               ," 14,778.61 ", -   , -   ," 14,778.61 ",
101 ,101 ,6 ,Claremont                ," 14,478.31 "," 13,981.36 "," 15,979.25 "," 14,828.72 ",
,,,,,,,,
103 ,103 ,7 ,Clarksville              , -   , -   , -   , -   ,
105 ,105 ,7 ,Colebrook                ," 12,652.53 ", -   ," 16,291.24 "," 13,806.62 ",
107 ,107 ,7 ,Columbia                 , -   , -   , -   , -   ,
111 ,111 ,8 ,Concord                  ," 13,481.13 "," 11,754.45 "," 11,327.83 "," 12,264.58 ",
112 ,0 ,1 ,Contoocook Valley," 16,788.58 "," 14,040.28 "," 13,011.81 "," 14,492.80 ",
,,,,,,,,
113 ,113 ,9 ,Conway                   ," 15,159.07 "," 14,827.64 "," 12,816.44 "," 14,029.15 ",
114 ,0 ,99 ,Coos County , -   , -   , -   , -   ,
115 ,115 ,6 ,Cornish                  ," 16,962.52 ", -   , -   ," 16,962.52 ",
117 ,117 ,43 ,Croydon                  ," 13,109.38 ", -   , -   ," 13,109.38 ",
