,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"January 3, 2017",
,,,                             Office of School Finance,,,,ADMA as of 9-26-16,
,,,"                               101 Pleasant Street, Concord, NH  03301-3852",,,,,
,,,TEL 603-271-3876   FAX 603-271-1953,,,,,
,,,,,,,,
,,,"COST PER PUPIL BY DISTRICT, 2015-2016",,,,,
,,,,,,,,
,,,"The Cost per Pupil represents, with certain adjustments, current expenditures from all funding sources (local, state and federal) ",,,,,
,,,associated with the daily operation of schools. Payments to other school districts and private schools have been subtracted.  ,,,,,
,,,Revenues from the sales of lunches have also been excluded.  ,,,,,
,,,,,,,,
,,,"Cost per Pupil is calculated by subtracting tuition and transportation from K-12 current operating expenditures, and then dividing",,,,,
,,,"by the average daily membership in attendance (ADM-A).  The report ""State Average Cost Per Pupil and Total Expenditures"" ",,,,,
,,,"identifies which expenditures have been included or excluded. The per pupil amount of all expenditures - operating, tuition,",,,,,
,,,"transportation, equipment, construction, interest and non-K-12 expenditures is $17,648.76.",,,,,
,,,,,,,,
,,,,,,,,
,,,,, Approved  ,, Total ,
DIST,LOC,SAU, School District , Elementary , Middle , High , (Pre School-12) , 
,,,,,,,,
,,,State Average  (1),"$15,033.57 ","$14,295.37 ","$15,068.46 ","$14,901.93 ",
,,,,,,,,
5 ,5 ,9 ,Albany                   , -   , -   , -   , -   ,
9 ,9 ,53 ,Allenstown               ," 18,391.21 ", -   , -   ," 18,391.21 ",
15 ,15 ,51 ,Alton                    ," 17,464.16 ", -   , -   ," 17,464.16 ",
17 ,17 ,39 ,Amherst                  ," 18,752.80 "," 17,538.46 ", -   ," 18,116.32 ",
19 ,19 ,46 ,Andover                  ," 12,910.48 ", -   , -   ," 12,910.48 ",
23 ,23 ,2 ,Ashland                  ," 18,948.61 ", -   , -   ," 18,948.61 ",
29 ,29 ,15 ,Auburn                   ," 12,368.86 ", -   , -   ," 12,368.86 ",
31 ,31 ,51 ,Barnstead                ," 15,397.89 ", -   , -   ," 15,397.89 ",
33 ,33 ,74 ,Barrington               ," 12,805.46 "," 13,211.15 ", -   ," 12,988.76 ",
35 ,35 ,9 ,Bartlett                 ," 24,264.08 ", -   , -   ," 24,264.08 ",
,,,,,,,,
39 ,39 ,23 ,Bath                     ," 13,453.98 ", -   , -   ," 13,453.98 ",
41 ,41 ,25 ,Bedford                  ," 12,645.49 "," 12,001.15 "," 11,728.37 "," 12,225.79 ",
47 ,47 ,23 ,Benton                   , -   , -   , -   , -   ,
51 ,51 ,3 ,Berlin                   ," 15,318.87 "," 14,391.28 "," 15,704.47 "," 15,250.82 ",
53 ,53 ,35 ,Bethlehem                ," 18,546.36 ", -   , -   ," 18,546.36 ",
57 ,57 ,67 ,Bow                      ," 16,465.88 "," 14,133.83 "," 16,202.15 "," 15,577.28 ",
63 ,63 ,16 ,Brentwood                ," 13,250.68 ", -   , -   ," 13,250.68 ",
71 ,71 ,41 ,Brookline                ," 13,572.90 ", -   , -   ," 13,572.90 ",
