,,,                              NEW HAMPSHIRE DEPARTMENT OF EDUCATION,,,,"December 7, 2017",
,,,                             Office of School Finance,,,,ADMA as of 9-20-17,
,,,"                               101 Pleasant Street, Concord, NH  03301-3852",,,,,
,,,TEL 603-271-3876   FAX 603-271-1953,,,,,
,,,,,,,,
,,,"COST PER PUPIL BY DISTRICT, 2016-2017",,,,,
,,,,,,,,
,,,"The Cost per Pupil represents, with certain adjustments, current expenditures from all funding sources (local, state and federal) ",,,,,
,,,associated with the daily operation of schools. Payments to other school districts and private schools have been subtracted.  ,,,,,
,,,Revenues from the sales of lunches have also been excluded.  ,,,,,
,,,,,,,,
,,,"Cost per Pupil is calculated by subtracting tuition and transportation from K-12 current operating expenditures, and then dividing",,,,,
,,,"by the average daily membership in attendance (ADM-A).  The report ""State Average Cost Per Pupil and Total Expenditures"" ",,,,,
,,,"identifies which expenditures have been included or excluded. The per pupil amount of all expenditures - operating, tuition,",,,,,
,,,"transportation, equipment, construction, interest and non-K-12 expenditures is $18,216.28.",,,,,
,,,,,,,,
,,,,,,,,
,,,,, Approved  ,, Total ,
DIST,LOC,SAU, School District , Elementary , Middle , High , (Pre School-12) , 
,,,,,,,,
,,,State Average  (1),"$15,397.60 ","$14,740.66 ","$15,537.80 ","$15,310.67 ",
,,,,,,,,
5 ,5 ,9 ,Albany                   , -   , -   , -   , -   ,
9 ,9 ,53 ,Allenstown               ," 16,741.87 ", -   , -   ," 16,741.87 ",
15 ,15 ,51 ,Alton                    ," 18,119.84 ", -   , -   ," 18,119.84 ",
17 ,17 ,39 ,Amherst                  ," 18,976.83 "," 17,353.72 ", -   ," 18,156.32 ",
19 ,19 ,46 ,Andover                  ," 12,443.39 ", -   , -   ," 12,443.39 ",
23 ,23 ,2 ,Ashland                  ," 17,402.70 ", -   , -   ," 17,402.70 ",
29 ,29 ,15 ,Auburn                   ," 12,167.84 ", -   , -   ," 12,167.84 ",
31 ,31 ,51 ,Barnstead                ," 16,527.19 ", -   , -   ," 16,527.19 ",
33 ,33 ,74 ,Barrington               ," 13,973.80 "," 14,276.31 ", -   ," 14,112.35 ",
35 ,35 ,9 ,Bartlett                 ," 23,935.53 ", -   , -   ," 23,935.53 ",
,,,,,,,,
39 ,39 ,23 ,Bath                     ," 14,995.45 ", -   , -   ," 14,995.45 ",
41 ,41 ,25 ,Bedford                  ," 13,242.99 "," 12,809.00 "," 12,362.14 "," 12,867.43 ",
47 ,47 ,23 ,Benton                   , -   , -   , -   , -   ,
51 ,51 ,3 ,Berlin                   ," 15,187.11 "," 15,204.75 "," 16,380.78 "," 15,615.92 ",
53 ,53 ,35 ,Bethlehem                ," 19,037.72 ", -   , -   ," 19,037.72 ",
57 ,57 ,67 ,Bow                      ," 14,984.08 "," 14,125.64 "," 15,578.77 "," 14,939.58 ",
63 ,63 ,16 ,Brentwood *                ," 13,876.10 ", -   , -   ," 13,876.10 ",
71 ,71 ,41 ,Brookline                ," 14,067.99 ", -   , -   ," 14,067.99 ",
75 ,75 ,48 ,Campton                  ," 18,135.80 ", -   , -   ," 18,135.80 ",
79 ,79 ,15 ,Candia                   ," 15,532.91 ", -   , -   ," 15,532.91 ",
,,,,,,,,
91 ,91 ,9 ,Chatham                  , -   , -   , -   , -   ,
93 ,93 ,14 ,Chester                  ," 12,645.21 ", -   , -   ," 12,645.21 ",
95 ,95 ,29 ,Chesterfield             ," 16,475.78 ", -   , -   ," 16,475.78 ",
99 ,99 ,53 ,Chichester               ," 18,066.61 ", -   , -   ," 18,066.61 ",
101 ,101 ,6 ,Claremont                ," 16,884.09 "," 15,305.80 "," 17,911.80 "," 16,851.84 ",
103 ,103 ,7 ,Clarksville              , -   , -   , -   , -   ,
105 ,105 ,7 ,Colebrook                ," 15,930.46 ", -   ," 19,363.02 "," 17,162.75 ",
107 ,107 ,7 ,Columbia                 , -   , -   , -   , -   ,
111 ,111 ,8 ,Concord                  ," 16,942.35 "," 14,435.28 "," 14,062.97 "," 15,283.69 ",
112 ,0 ,1 ,Contoocook Valley," 16,641.31 "," 19,602.74 "," 18,680.69 "," 18,238.40 ",
,,,,,,,,
113 ,113 ,9 ,Conway                   ," 16,948.58 "," 16,935.95 "," 16,075.61 "," 16,581.47 ",
114 ,0 ,99 ,Coos County , -   , -   , -   , -   ,
115 ,115 ,6 ,Cornish                  ," 24,983.67 ", -   , -   ," 24,983.67 ",
117 ,117 ,43 ,Croydon                  ," 15,506.48 ", -   , -   ," 15,506.48 ",
127 ,127 ,53 ,Deerfield                ," 17,323.02 ", -   , -   ," 17,323.02 ",
131 ,131 ,10 ,Derry  Cooperative," 14,268.55 "," 14,820.52 ", -   ," 14,469.32 ",
141 ,141 ,11 ,Dover                    ," 12,347.35 "," 10,367.09 "," 12,535.98 "," 11,816.57 ",
142 ,0 ,22 ,Dresden , -   ," 18,953.30 "," 18,388.52 "," 18,577.26 ",
147 ,147 ,20 ,Dummer                   , -   , -   , -   , -   ,
149 ,149 ,19 ,Dunbarton                ," 14,034.41 ", -   , -   ," 14,034.41 ",
153 ,153 ,16 ,East Kingston *            ," 16,231.17 ", -   , -   ," 16,231.17 ",
159 ,159 ,9 ,Eaton                    , -   , -   , -   , -   ,
162 ,162 ,48 ,Ellsworth                , -   , -   , -   , -   ,
165 ,165 ,14 ,Epping                   ," 15,779.65 "," 15,676.81 "," 19,338.76 "," 16,711.96 ",
